,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Malaysia,1.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,0.0,35.0,0.0,8.0,0.0,1.0,2.0,1.0,43.0,2.0,0.0,21.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,45.0,0.0,3.0,0.0,0.0,0.0,4.0,6.0,15.0,22.0,0.0,3.0,0.0,0.0,0.0,38.0,4.0,0.0,0.0,1.0,0.0,9.0,6.0,0.0,0.0,1.0,0.0,52.0,31.0,0.0,153.0,1.0,2.0,0.0,24.0,2.0,4.0,0.0,0.0,5.0,7.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,21.0
Congo,1.0,3.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,3.0,5.0,37.0,2.0,80.0,4.0,163.0,60.0,9.0,0.0,0.0,0.0,1.0,25.0,3.0,0.0,7409.0,0.0,35.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,39.0,2.0,3.0,0.0,4.0,0.0,3.0,0.0,6.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,167.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,1.0,0.0,15.0,0.0,12.0,275.0,85.0,712.0,4.0,2.0,0.0,0.0,0.0,43.0,9.0,2.0,1.0,0.0,146.0,0.0,3.0,2.0,7.0,0.0,5.0,6.0,8.0,12.0,3.0,0.0,0.0,7.0,0.0,0.0,5.0,9.0,0.0,81.0,9.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,24.0,1.0,64.0,7.0,1.0,14.0,0.0,40.0,121.0
Chile,1.0,1.0,0.0,18.0,0.0,4.0,9.0,0.0,1.0,4.0,4.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,1.0,0.0,20.0,7.0,5.0,0.0,0.0,1.0,3.0,8.0,1.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,77.0,0.0,14.0,14.0,6.0,0.0,4.0,0.0,2.0,0.0,39.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,44.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,9.0,32.0,7.0,0.0,1.0,2.0,3.0,35.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,43.0
Hong Kong,1.0,1.0,0.0,77.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,61.0,0.0,9.0,1.0,2.0,244.0,0.0,26.0,0.0,0.0,68.0,2.0,4.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,24.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,22.0,5.0,33.0,1.0,1.0,0.0,0.0,128.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,201.0,0.0,0.0,0.0,1.0,0.0,48.0,1.0,0.0,5.0,4.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0,10.0,221.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,18.0,0.0,0.0,0.0,4.0,9.0
"Bolivia, Plurinational State of",2.0,0.0,2.0,0.0,0.0,5.0,13.0,0.0,0.0,12.0,9.0,5.0,1.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,3.0,0.0,177.0,3.0,21.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,163.0,0.0,7.0,17.0,11.0,0.0,2.0,1.0,2.0,0.0,146.0,0.0,0.0,0.0,0.0,9.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,18.0,3.0,29.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,35.0,6.0,2.0,0.0,7.0,3.0,0.0,10.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,31.0,0.0,11.0,3.0,0.0,0.0,0.0,16.0,40.0
Russian Federation,10.0,70.0,7.0,45.0,19.0,32.0,40.0,0.0,6.0,0.0,53.0,34.0,25.0,23.0,0.0,327.0,14.0,1.0,9.0,0.0,45.0,14.0,103.0,81.0,0.0,308.0,23.0,51.0,10.0,34.0,4.0,0.0,138.0,0.0,0.0,6.0,2.0,440.0,17.0,14.0,3.0,7.0,9.0,0.0,186.0,186.0,56.0,3.0,39.0,5.0,1.0,0.0,972.0,3.0,0.0,2.0,2.0,5.0,10.0,12.0,14.0,0.0,341.0,0.0,11.0,56.0,3.0,571.0,54.0,6.0,0.0,0.0,50.0,1.0,0.0,33.0,7.0,63.0,70.0,0.0,200.0,12.0,5.0,0.0,232.0,138.0,8.0,62.0,45.0,0.0,5.0,5.0,0.0,11.0,24.0,12.0,4.0,83.0,50.0,2.0,41.0,17.0,3.0,35.0,20.0,0.0,424.0,20.0,166.0,52.0,0.0,65.0,0.0,143.0,134.0
Greenland,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
Canada,1.0,29.0,1.0,4.0,6.0,30.0,0.0,0.0,7.0,4.0,4.0,12.0,28.0,7.0,0.0,222.0,0.0,10.0,3.0,8.0,126.0,22.0,11.0,9.0,0.0,138.0,10.0,93.0,4.0,0.0,8.0,19.0,102.0,0.0,0.0,0.0,0.0,56.0,13.0,8.0,19.0,10.0,4.0,1.0,30.0,116.0,210.0,3.0,63.0,29.0,3.0,0.0,175.0,0.0,0.0,1.0,24.0,1.0,14.0,7.0,0.0,0.0,83.0,0.0,12.0,38.0,0.0,279.0,116.0,3.0,0.0,0.0,16.0,10.0,0.0,19.0,8.0,8.0,30.0,0.0,26.0,65.0,3.0,6.0,12.0,31.0,19.0,90.0,60.0,1.0,5.0,1.0,1.0,7.0,2.0,12.0,0.0,30.0,73.0,48.0,10.0,17.0,0.0,2.0,16.0,0.0,65.0,0.0,17.0,20.0,0.0,59.0,0.0,18.0,99.0
Gibraltar,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,4.0,12.0,3.0,62.0,6.0,18.0,16.0,0.0,1.0,2.0,89.0,172.0,11.0,21.0,1.0,371.0,0.0,7.0,2.0,19.0,83.0,11.0,216.0,89.0,0.0,228.0,6.0,58.0,5.0,0.0,9.0,0.0,291.0,1.0,0.0,5.0,3.0,384.0,31.0,1.0,25.0,38.0,0.0,0.0,33.0,94.0,46.0,1.0,26.0,8.0,3.0,0.0,325.0,0.0,1.0,0.0,21.0,11.0,62.0,58.0,160.0,0.0,138.0,1.0,9.0,200.0,0.0,543.0,85.0,2.0,0.0,0.0,10.0,21.0,1.0,5.0,25.0,6.0,43.0,5.0,26.0,43.0,9.0,0.0,21.0,29.0,10.0,42.0,146.0,7.0,8.0,12.0,1.0,6.0,12.0,15.0,0.0,99.0,39.0,40.0,52.0,27.0,0.0,3.0,0.0,0.0,178.0,3.0,72.0,19.0,1.0,46.0,0.0,93.0,303.0
Italy,27.0,21.0,3.0,55.0,13.0,31.0,53.0,1.0,6.0,23.0,61.0,174.0,24.0,14.0,1.0,122.0,1.0,17.0,0.0,5.0,23.0,49.0,274.0,41.0,0.0,256.0,15.0,41.0,31.0,0.0,7.0,16.0,798.0,1.0,0.0,25.0,0.0,178.0,43.0,2.0,9.0,75.0,2.0,0.0,70.0,245.0,428.0,5.0,180.0,88.0,0.0,0.0,103.0,2.0,1.0,1.0,219.0,26.0,147.0,40.0,7.0,0.0,32.0,2.0,15.0,153.0,6.0,987.0,469.0,11.0,1.0,0.0,35.0,121.0,4.0,73.0,75.0,65.0,132.0,9.0,28.0,14.0,26.0,0.0,52.0,287.0,5.0,206.0,153.0,20.0,214.0,8.0,5.0,13.0,5.0,32.0,0.0,25.0,58.0,42.0,207.0,39.0,0.0,8.0,2.0,2.0,202.0,1.0,36.0,61.0,1.0,154.0,0.0,60.0,223.0
Viet Nam,1.0,0.0,8.0,45.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,3.0,22.0,0.0,73.0,0.0,2.0,1.0,0.0,12.0,4.0,136.0,0.0,0.0,33.0,1.0,9.0,0.0,0.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,14.0,3.0,0.0,4.0,4.0,2.0,0.0,2.0,23.0,62.0,3.0,18.0,0.0,1.0,0.0,70.0,2.0,0.0,1.0,1.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,5.0,48.0,0.0,91.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,8.0,0.0,26.0,0.0,6.0,10.0,1.0,7.0,13.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,27.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,8.0,3.0,0.0,0.0,0.0,18.0,19.0
India,1.0,11.0,5.0,28.0,3.0,3.0,33.0,1.0,0.0,2.0,8.0,81.0,8.0,38.0,3.0,186.0,12.0,3.0,2.0,0.0,60.0,8.0,182.0,28.0,1.0,116.0,10.0,152.0,5.0,1.0,3.0,4.0,73.0,4.0,0.0,37.0,0.0,128.0,22.0,4.0,13.0,16.0,1.0,12.0,47.0,112.0,107.0,5.0,45.0,10.0,5.0,0.0,232.0,126.0,0.0,0.0,2.0,22.0,156.0,20.0,0.0,0.0,1.0,0.0,23.0,250.0,5.0,279.0,16.0,3.0,14.0,226.0,1.0,20.0,6.0,2.0,20.0,16.0,79.0,0.0,47.0,12.0,8.0,0.0,41.0,27.0,16.0,29.0,32.0,0.0,2.0,6.0,0.0,12.0,1.0,9.0,0.0,205.0,34.0,2.0,13.0,3.0,2.0,3.0,1.0,1.0,231.0,1.0,156.0,68.0,32.0,33.0,1.0,40.0,104.0
China,5.0,9.0,7.0,236.0,10.0,11.0,9.0,0.0,11.0,1.0,0.0,30.0,20.0,23.0,5.0,550.0,3.0,13.0,5.0,2.0,232.0,22.0,110.0,105.0,1.0,233.0,69.0,115.0,16.0,0.0,8.0,1.0,123.0,2.0,0.0,1.0,5.0,168.0,18.0,3.0,20.0,3.0,2.0,0.0,50.0,161.0,143.0,58.0,103.0,13.0,1.0,0.0,395.0,37.0,0.0,2.0,2.0,1.0,13.0,7.0,1.0,0.0,7.0,1.0,29.0,213.0,5.0,315.0,21.0,11.0,3.0,1.0,18.0,1139.0,1.0,12.0,51.0,72.0,46.0,3.0,62.0,13.0,11.0,0.0,7.0,22.0,125.0,59.0,61.0,0.0,4.0,8.0,0.0,11.0,3.0,12.0,0.0,179.0,46.0,97.0,4.0,13.0,0.0,6.0,4.0,0.0,120.0,0.0,28.0,207.0,0.0,9.0,0.0,40.0,90.0
Sri Lanka,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,2.0,0.0,51.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,6.0,0.0,32.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,7.0,6.0,3.0,9.0,2.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,26.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,5.0,1.0,0.0,0.0,2.0,16.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,15.0,1.0,2.0,0.0,1.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
Azerbaijan,1.0,28.0,0.0,6.0,0.0,4.0,5.0,0.0,1.0,0.0,2.0,1.0,4.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,9.0,5.0,9.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,33.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,7.0,0.0,8.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,23.0,1.0,0.0,0.0,7.0,12.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,3.0,0.0,8.0,2.0,0.0,10.0,1.0,2.0,7.0,0.0,0.0,0.0,2.0,8.0
