,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Colombia,0.0,2.0,0.0,20.0,1.0,3.0,54.0,0.0,9.0,8.0,12.0,3.0,0.0,3.0,0.0,23.0,0.0,1585.0,0.0,0.0,16.0,8.0,69.0,15.0,0.0,63.0,1.0,24.0,11.0,0.0,1.0,27.0,27.0,1.0,0.0,1.0,1.0,25.0,4.0,2.0,1.0,6.0,2.0,0.0,35.0,27.0,17.0,0.0,17.0,7.0,2.0,0.0,54.0,0.0,0.0,0.0,2.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,32.0,35.0,2.0,79.0,3.0,2.0,0.0,1.0,2.0,2.0,5.0,0.0,4.0,14.0,12.0,0.0,17.0,9.0,4.0,2.0,24.0,28.0,23.0,23.0,31.0,4.0,1.0,2.0,0.0,2.0,2.0,9.0,3.0,33.0,4.0,1.0,2.0,8.0,0.0,1.0,0.0,2.0,18.0,0.0,8.0,7.0,0.0,2.0,0.0,11.0,63.0
Poland,0.0,1.0,0.0,114.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,532.0,0.0,0.0,8.0,5.0,1.0,43.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,21.0,4.0,3.0,4.0,2.0,1.0,0.0,1.0,7.0,10.0,0.0,6.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,13.0,0.0,14.0,1.0,0.0,52.0,0.0,5.0,6.0,0.0,1.0,1.0,0.0,4.0,7.0,2.0,39.0,1.0,8.0,2.0,6.0,0.0,10.0,3.0,7.0,9.0,58.0,0.0,0.0,0.0,0.0,24.0,0.0,4.0,0.0,1.0,1.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,237.0,0.0,8.0,1.0,0.0,0.0,0.0,2.0,5.0
Greece,0.0,3.0,0.0,7.0,0.0,3.0,3.0,0.0,83.0,0.0,1.0,2.0,0.0,4.0,0.0,129.0,0.0,3623.0,2.0,0.0,13.0,4.0,7.0,1.0,0.0,253.0,1.0,13.0,1.0,1.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,73.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,8.0,2.0,2.0,18.0,2.0,1.0,0.0,67.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,37.0,21.0,4.0,152.0,6.0,1.0,0.0,0.0,1.0,20.0,1.0,1.0,19.0,3.0,8.0,0.0,1.0,3.0,0.0,0.0,2.0,37.0,32.0,10.0,5.0,0.0,1.0,1.0,0.0,20.0,0.0,18.0,0.0,14.0,5.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,10.0,0.0,21.0,17.0,2.0,30.0,1.0,5.0,13.0
Ukraine,0.0,4.0,0.0,16.0,1.0,26.0,2.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,34.0,0.0,1216.0,0.0,0.0,20.0,6.0,6.0,9.0,0.0,40.0,1.0,6.0,9.0,0.0,5.0,0.0,19.0,0.0,0.0,2.0,0.0,67.0,2.0,0.0,0.0,2.0,0.0,0.0,20.0,20.0,5.0,0.0,3.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,28.0,0.0,10.0,65.0,0.0,286.0,4.0,1.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,8.0,17.0,0.0,61.0,4.0,0.0,0.0,53.0,9.0,25.0,7.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,17.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,100.0,2.0,10.0,7.0,0.0,12.0,0.0,8.0,11.0
Malta,0.0,1.0,0.0,0.0,0.0,1.0,73.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,415.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,7.0,5.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaco,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,121.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
Congo,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,82.0,0.0,11.0,12.0,130.0,0.0,0.0,2.0,1.0,4.0,2.0,0.0,914.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,8.0,11.0,4.0,127.0,18.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,3.0,2.0,33.0,0.0,0.0,8.0,2.0,0.0,18.0,0.0,37.0,4.0,1.0,0.0,1.0,5.0,0.0,1.0,4.0,18.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,4.0,2.0,0.0,1.0,0.0,59.0,2.0
Armenia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,160.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
Kazakhstan,0.0,5.0,0.0,5.0,0.0,2.0,8.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,14.0,0.0,211.0,0.0,0.0,6.0,3.0,2.0,3.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,3.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,6.0,0.0,11.0,4.0,0.0,1.0,2.0,3.0,25.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0
Finland,0.0,3.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,7.0,0.0,310.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,7.0,1.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,2.0,7.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0,1.0,27.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,9.0,0.0,4.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
South Sudan,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,11.0,0.0,0.0,5.0,0.0
Kuwait,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
Syrian Arab Republic,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,12.0,0.0,282.0,0.0,0.0,0.0,0.0,2.0,129.0,0.0,12.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,8.0,8.0,0.0,3.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,4.0
Netherlands,0.0,3.0,0.0,162.0,3.0,16.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,2.0,2.0,43.0,0.0,1157.0,0.0,0.0,50.0,11.0,9.0,4.0,1.0,34.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,3.0,0.0,5.0,16.0,3.0,3.0,4.0,1.0,0.0,6.0,43.0,21.0,0.0,19.0,3.0,0.0,0.0,66.0,0.0,0.0,1.0,10.0,1.0,3.0,0.0,1.0,0.0,56.0,0.0,11.0,31.0,0.0,68.0,33.0,7.0,0.0,0.0,2.0,9.0,4.0,6.0,8.0,23.0,10.0,22.0,16.0,80.0,6.0,1.0,26.0,4.0,36.0,15.0,31.0,0.0,1.0,2.0,0.0,4.0,7.0,12.0,0.0,17.0,6.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,27.0,0.0,10.0,10.0,2.0,5.0,0.0,11.0,37.0
Nepal,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,208.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,3.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,1.0,12.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,12.0,5.0,8.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,8.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,11.0,18.0,15.0,0.0,0.0,3.0,4.0
Sweden,0.0,2.0,2.0,43.0,0.0,4.0,1.0,0.0,14.0,1.0,5.0,2.0,24.0,7.0,1.0,20.0,0.0,799.0,0.0,0.0,20.0,7.0,3.0,13.0,0.0,35.0,1.0,24.0,0.0,0.0,6.0,0.0,41.0,0.0,0.0,1.0,0.0,7.0,5.0,5.0,3.0,13.0,3.0,0.0,9.0,12.0,28.0,1.0,23.0,2.0,0.0,0.0,106.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,22.0,0.0,12.0,11.0,1.0,49.0,8.0,2.0,0.0,0.0,10.0,9.0,0.0,0.0,15.0,8.0,32.0,2.0,8.0,42.0,2.0,1.0,12.0,7.0,12.0,8.0,57.0,0.0,0.0,1.0,0.0,4.0,4.0,11.0,0.0,19.0,34.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0,26.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,19.0
Somalia,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,1.0,8.0,0.0,113.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,19.0,6.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,22.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,21.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,1.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,29.0,1.0,5.0,0.0,1750.0,0.0,1.0,12.0,1.0,64.0,12.0,0.0,83.0,5.0,5.0,1.0,0.0,0.0,6.0,1.0,3.0,0.0,5.0,0.0,23.0,5.0,0.0,0.0,28.0,0.0,0.0,2.0,76.0,41.0,0.0,11.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,6.0,16.0,1.0,32.0,10.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,5.0,9.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,23.0,8.0,1.0,0.0,28.0,0.0,0.0,1.0,0.0,12.0,0.0,19.0,2.0,0.0,22.0,6.0,0.0,5.0,0.0,0.0,9.0,0.0,19.0,2.0,0.0,1.0,0.0,22.0,36.0
Belgium,0.0,1.0,1.0,154.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,7.0,1.0,4.0,1.0,58.0,0.0,1770.0,0.0,0.0,13.0,9.0,5.0,8.0,0.0,90.0,0.0,13.0,0.0,0.0,4.0,1.0,53.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,3.0,0.0,0.0,5.0,30.0,22.0,0.0,13.0,8.0,1.0,0.0,165.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,6.0,0.0,23.0,13.0,0.0,87.0,4.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,2.0,7.0,10.0,0.0,5.0,12.0,0.0,0.0,8.0,24.0,22.0,12.0,29.0,0.0,0.0,2.0,1.0,5.0,5.0,4.0,0.0,24.0,2.0,12.0,5.0,2.0,1.0,1.0,2.0,1.0,16.0,0.0,7.0,3.0,0.0,7.0,0.0,14.0,23.0
Lebanon,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,491.0,0.0,0.0,0.0,1.0,0.0,256.0,0.0,7.0,0.0,63.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,51.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0
Bhutan,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,1.0,0.0,31.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,1.0,0.0,73.0,3.0,8.0,0.0,854.0,0.0,0.0,5.0,0.0,7.0,174.0,0.0,59.0,0.0,206.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0,3.0,2.0,0.0,0.0,5.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,17.0,3.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,141.0,51.0,1.0,20.0,9.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,2.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,16.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,19.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,4.0,16.0,0.0,0.0,0.0,7.0,6.0
"Korea, Republic of",0.0,8.0,0.0,47.0,1.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,26.0,0.0,736.0,0.0,0.0,26.0,0.0,3.0,2.0,0.0,13.0,0.0,26.0,2.0,0.0,0.0,1.0,20.0,0.0,0.0,2.0,1.0,11.0,1.0,0.0,2.0,6.0,5.0,0.0,11.0,14.0,10.0,1.0,4.0,0.0,0.0,0.0,70.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,39.0,3.0,1.0,10.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,2.0,3.0,8.0,5.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,5.0,3.0,7.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,6.0,1.0,0.0,191.0,0.0,2.0,8.0
Afghanistan,0.0,5.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,26.0,1.0,1106.0,0.0,0.0,11.0,0.0,11.0,168.0,1.0,55.0,0.0,15.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,73.0,8.0,0.0,2.0,2.0,0.0,0.0,17.0,22.0,9.0,0.0,4.0,3.0,0.0,0.0,43.0,2.0,0.0,0.0,4.0,22.0,6.0,2.0,0.0,0.0,1.0,0.0,5.0,41.0,5.0,401.0,5.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,3.0,5.0,234.0,2.0,14.0,9.0,0.0,0.0,7.0,10.0,5.0,20.0,16.0,0.0,0.0,2.0,0.0,7.0,2.0,21.0,0.0,32.0,17.0,0.0,13.0,2.0,0.0,1.0,0.0,0.0,48.0,0.0,12.0,10.0,5.0,1.0,0.0,3.0,3.0
Belarus,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,591.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,8.0,1.0,1.0,2.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,2.0,0.0,10.0,3.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,30.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,19.0,5.0,0.0,45.0,3.0,0.0,0.0,8.0,3.0,14.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,68.0,7.0,5.0,6.0,0.0,4.0,0.0,5.0,4.0
Mongolia,0.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,83.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,41.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0
Svalbard and Jan Mayen,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,103.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,40.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,94.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Guam,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,58.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
