,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Greenland,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0
Canada,1.0,29.0,1.0,5.0,5.0,25.0,0.0,0.0,7.0,4.0,5.0,9.0,30.0,7.0,0.0,222.0,0.0,9.0,4.0,7.0,117.0,20.0,10.0,10.0,0.0,147.0,10.0,92.0,6.0,0.0,10.0,28.0,101.0,0.0,0.0,1.0,0.0,56.0,14.0,7.0,16.0,8.0,5.0,2.0,34.0,113.0,193.0,3.0,70.0,30.0,3.0,0.0,181.0,0.0,0.0,1.0,29.0,1.0,11.0,7.0,0.0,0.0,81.0,0.0,12.0,45.0,0.0,268.0,114.0,3.0,0.0,0.0,16.0,9.0,0.0,18.0,8.0,8.0,29.0,0.0,30.0,66.0,3.0,6.0,11.0,30.0,22.0,89.0,56.0,1.0,6.0,1.0,1.0,7.0,2.0,12.0,0.0,30.0,74.0,45.0,9.0,17.0,0.0,2.0,16.0,0.0,62.0,0.0,15.0,21.0,0.0,63.0,0.0,17.0,105.0
Gibraltar,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,4.0,12.0,2.0,43.0,5.0,37.0,15.0,0.0,1.0,2.0,89.0,170.0,12.0,22.0,1.0,386.0,0.0,8.0,2.0,19.0,81.0,14.0,217.0,93.0,0.0,225.0,6.0,58.0,5.0,0.0,8.0,1.0,329.0,1.0,0.0,7.0,3.0,387.0,30.0,1.0,24.0,35.0,0.0,0.0,32.0,83.0,49.0,1.0,24.0,8.0,2.0,0.0,267.0,0.0,1.0,0.0,21.0,11.0,61.0,57.0,163.0,0.0,138.0,1.0,10.0,200.0,0.0,525.0,80.0,2.0,0.0,0.0,9.0,15.0,1.0,4.0,23.0,9.0,39.0,5.0,26.0,46.0,10.0,0.0,21.0,29.0,10.0,37.0,131.0,7.0,9.0,10.0,1.0,6.0,12.0,16.0,1.0,59.0,41.0,35.0,52.0,29.0,0.0,3.0,0.0,0.0,196.0,3.0,66.0,18.0,1.0,46.0,0.0,93.0,299.0
Italy,28.0,20.0,2.0,44.0,13.0,31.0,50.0,1.0,6.0,23.0,6.0,175.0,24.0,14.0,1.0,121.0,0.0,19.0,0.0,3.0,20.0,63.0,318.0,40.0,0.0,259.0,15.0,42.0,31.0,0.0,5.0,17.0,805.0,0.0,0.0,26.0,0.0,174.0,44.0,3.0,10.0,75.0,2.0,0.0,69.0,235.0,406.0,5.0,159.0,77.0,1.0,0.0,91.0,2.0,0.0,0.0,205.0,22.0,155.0,16.0,7.0,0.0,31.0,2.0,14.0,158.0,6.0,957.0,457.0,9.0,15.0,0.0,34.0,133.0,4.0,90.0,65.0,64.0,134.0,9.0,27.0,14.0,25.0,0.0,56.0,296.0,3.0,211.0,173.0,23.0,206.0,8.0,5.0,12.0,5.0,29.0,0.0,15.0,56.0,39.0,206.0,39.0,0.0,14.0,1.0,1.0,192.0,1.0,36.0,59.0,3.0,158.0,0.0,60.0,227.0
Viet Nam,1.0,0.0,8.0,38.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,2.0,21.0,0.0,67.0,0.0,2.0,1.0,0.0,9.0,4.0,143.0,0.0,0.0,27.0,0.0,9.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,13.0,2.0,0.0,2.0,3.0,2.0,0.0,2.0,15.0,64.0,3.0,17.0,0.0,1.0,0.0,63.0,2.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,3.0,48.0,0.0,86.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,9.0,0.0,26.0,0.0,5.0,8.0,0.0,5.0,10.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,6.0,3.0,0.0,0.0,0.0,19.0,22.0
India,1.0,12.0,5.0,29.0,3.0,2.0,35.0,1.0,0.0,2.0,7.0,87.0,7.0,44.0,4.0,182.0,13.0,3.0,2.0,0.0,58.0,8.0,208.0,27.0,1.0,123.0,10.0,152.0,6.0,1.0,3.0,5.0,76.0,4.0,0.0,39.0,0.0,115.0,23.0,5.0,15.0,16.0,1.0,12.0,47.0,117.0,108.0,6.0,53.0,10.0,5.0,0.0,203.0,127.0,0.0,0.0,2.0,22.0,153.0,24.0,0.0,0.0,1.0,0.0,20.0,270.0,3.0,277.0,14.0,1.0,39.0,226.0,1.0,22.0,6.0,2.0,21.0,13.0,76.0,0.0,49.0,7.0,8.0,0.0,43.0,26.0,14.0,31.0,41.0,0.0,2.0,6.0,0.0,14.0,1.0,10.0,0.0,166.0,35.0,2.0,11.0,4.0,2.0,2.0,1.0,1.0,197.0,1.0,170.0,68.0,33.0,16.0,1.0,37.0,104.0
China,5.0,9.0,7.0,239.0,10.0,10.0,10.0,0.0,12.0,1.0,1.0,30.0,18.0,22.0,5.0,548.0,3.0,11.0,5.0,2.0,223.0,21.0,119.0,103.0,1.0,300.0,71.0,114.0,17.0,0.0,8.0,1.0,128.0,2.0,0.0,1.0,4.0,163.0,19.0,3.0,20.0,3.0,3.0,0.0,47.0,154.0,147.0,49.0,104.0,13.0,2.0,0.0,413.0,36.0,0.0,2.0,3.0,1.0,12.0,6.0,1.0,0.0,7.0,0.0,30.0,218.0,5.0,322.0,16.0,12.0,2.0,1.0,18.0,1116.0,1.0,12.0,51.0,75.0,56.0,3.0,60.0,16.0,11.0,0.0,6.0,18.0,152.0,52.0,60.0,1.0,5.0,9.0,0.0,9.0,3.0,14.0,0.0,187.0,40.0,97.0,4.0,10.0,0.0,6.0,4.0,0.0,109.0,0.0,26.0,189.0,0.0,13.0,0.0,39.0,97.0
Sri Lanka,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,2.0,0.0,54.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,5.0,0.0,32.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,5.0,6.0,3.0,9.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,26.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,14.0,0.0,5.0,2.0,0.0,0.0,2.0,14.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,15.0,1.0,3.0,0.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0
Azerbaijan,1.0,29.0,0.0,6.0,0.0,4.0,6.0,0.0,1.0,0.0,2.0,1.0,5.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,5.0,9.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,34.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,9.0,0.0,8.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,24.0,1.0,0.0,0.0,7.0,12.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,10.0,0.0,0.0,3.0,0.0,8.0,2.0,0.0,6.0,1.0,2.0,5.0,0.0,1.0,0.0,2.0,16.0
Morocco,1.0,1.0,1.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,56.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,67.0,0.0,34.0,0.0,13.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,22.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,4.0,28.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,2.0,20.0,0.0,0.0,0.0,1.0,2.0
Mexico,3.0,57.0,5.0,61.0,3.0,18.0,29.0,0.0,21.0,36.0,67.0,48.0,6.0,46.0,2.0,46.0,0.0,5.0,12.0,0.0,16.0,20.0,283.0,35.0,0.0,129.0,0.0,13.0,7.0,1.0,5.0,15.0,51.0,0.0,0.0,0.0,1.0,53.0,9.0,3.0,7.0,8.0,7.0,0.0,47.0,89.0,76.0,0.0,50.0,1.0,5.0,1.0,191.0,0.0,1.0,0.0,0.0,2.0,12.0,0.0,8.0,1.0,12.0,0.0,0.0,35.0,1.0,361.0,4.0,10.0,0.0,0.0,0.0,11.0,3.0,4.0,2.0,7.0,21.0,0.0,37.0,0.0,70.0,0.0,41.0,33.0,0.0,130.0,96.0,7.0,10.0,3.0,0.0,3.0,3.0,38.0,0.0,40.0,29.0,4.0,20.0,10.0,0.0,2.0,10.0,1.0,101.0,0.0,28.0,23.0,0.0,6.0,0.0,11.0,294.0
Japan,6.0,4.0,0.0,21.0,2.0,22.0,1.0,1.0,17.0,4.0,2.0,6.0,3.0,22.0,3.0,100.0,0.0,4.0,0.0,0.0,113.0,7.0,30.0,13.0,0.0,138.0,2.0,28.0,46.0,0.0,19.0,0.0,82.0,0.0,0.0,5.0,61.0,177.0,7.0,3.0,8.0,10.0,3.0,0.0,11.0,32.0,37.0,3.0,30.0,11.0,0.0,0.0,149.0,16.0,3.0,36.0,1.0,0.0,169.0,0.0,1.0,0.0,2.0,0.0,6.0,58.0,26.0,176.0,16.0,2.0,0.0,1.0,1.0,21.0,0.0,4.0,25.0,23.0,20.0,0.0,28.0,4.0,2.0,1.0,6.0,66.0,16.0,54.0,18.0,1.0,0.0,0.0,0.0,1.0,14.0,5.0,0.0,58.0,15.0,28.0,3.0,6.0,1.0,1.0,2.0,0.0,45.0,2.0,9.0,5.0,0.0,4.0,0.0,16.0,64.0
Netherlands,8.0,10.0,4.0,24.0,8.0,43.0,18.0,0.0,6.0,0.0,4.0,17.0,17.0,6.0,1.0,62.0,1.0,1.0,0.0,0.0,23.0,20.0,28.0,3.0,0.0,67.0,0.0,15.0,1.0,0.0,4.0,0.0,47.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,5.0,6.0,0.0,0.0,5.0,24.0,13.0,0.0,8.0,7.0,0.0,0.0,35.0,0.0,0.0,0.0,15.0,1.0,6.0,0.0,1.0,0.0,37.0,0.0,2.0,27.0,0.0,255.0,32.0,9.0,0.0,0.0,17.0,6.0,0.0,12.0,16.0,10.0,8.0,31.0,15.0,9.0,28.0,0.0,15.0,46.0,2.0,35.0,24.0,0.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,5.0,18.0,6.0,1.0,5.0,0.0,1.0,0.0,0.0,18.0,2.0,7.0,4.0,0.0,29.0,0.0,4.0,42.0
Norway,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,94.0,0.0,0.0,6.0,13.0,10.0,0.0,22.0,0.0,4.0,0.0,0.0,23.0,12.0,3.0,11.0,0.0,32.0,0.0,20.0,1.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,76.0,5.0,8.0,2.0,1.0,3.0,0.0,3.0,15.0,13.0,0.0,9.0,3.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,1.0,0.0,8.0,2.0,0.0,7.0,0.0,79.0,7.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,29.0,1.0,5.0,0.0,99.0,1.0,2.0,0.0,8.0,1.0,3.0,11.0,32.0,3.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,2.0,15.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,7.0,16.0,4.0,1.0,0.0,1.0,0.0,12.0,7.0
Germany,1.0,5.0,7.0,47.0,19.0,38.0,3.0,1.0,23.0,5.0,82.0,3.0,66.0,39.0,2.0,181.0,93.0,10.0,2.0,23.0,53.0,49.0,17.0,20.0,1.0,293.0,47.0,60.0,9.0,0.0,19.0,16.0,296.0,1.0,0.0,1.0,4.0,83.0,12.0,1.0,56.0,51.0,115.0,0.0,70.0,189.0,149.0,8.0,127.0,56.0,2.0,0.0,287.0,1.0,1.0,3.0,38.0,16.0,31.0,6.0,4.0,0.0,80.0,1.0,16.0,87.0,23.0,1602.0,73.0,2.0,0.0,2.0,17.0,28.0,9.0,11.0,32.0,23.0,82.0,21.0,48.0,5.0,79.0,1.0,41.0,125.0,6.0,127.0,274.0,0.0,10.0,23.0,0.0,14.0,25.0,33.0,0.0,33.0,100.0,8.0,16.0,17.0,3.0,9.0,7.0,1.0,164.0,9.0,27.0,20.0,1.0,52.0,0.0,17.0,65.0
