,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Burundi,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Fiji,0.0,1.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0
Bangladesh,0.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,15.0,0.0,25.0,0.0,43.0,0.0,2.0,0.0,0.0,1.0,0.0,52.0,9.0,0.0,31.0,0.0,11.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,2.0,2.0,0.0,2.0,3.0,5.0,4.0,2.0,3.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,25.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,3.0,13.0,4.0,0.0,7.0,4.0,1.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,18.0,0.0,13.0,2.0,1.0,0.0,0.0,8.0,12.0
Zimbabwe,0.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,270.0,0.0,30.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,9.0,6.0,0.0,6.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,1.0,117.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,5.0,11.0,38.0,12.0,0.0,1.0,13.0,0.0,1.0,4.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,20.0,0.0,122.0,4.0,0.0,0.0,0.0,2.0,0.0
Papua New Guinea,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,58.0,0.0,2.0,9.0,1.0,0.0,0.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,2.0
Ethiopia,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,1.0,44.0,0.0,11.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,4.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,2.0,51.0,0.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,21.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,1.0,3.0,1.0,11.0,0.0,1.0,0.0,24.0,0.0,7.0,0.0,1.0,0.0,0.0,11.0,6.0
Poland,0.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,10.0,0.0,2.0,0.0,6.0,4.0,1.0,2.0,6.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,4.0,0.0,1.0,0.0,8.0,2.0,8.0,0.0,3.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,18.0,0.0,4.0,3.0,0.0,46.0,12.0,6.0,0.0,0.0,1.0,3.0,0.0,1.0,8.0,0.0,8.0,0.0,11.0,0.0,1.0,0.0,13.0,8.0,0.0,8.0,205.0,0.0,0.0,0.0,1.0,20.0,1.0,2.0,0.0,13.0,3.0,16.0,12.0,4.0,0.0,0.0,0.0,0.0,65.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,3.0
Tunisia,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,56.0,0.0,14.0,0.0,13.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,61.0,1.0,6.0,1.0,0.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,10.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,3.0
Kenya,0.0,30.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,94.0,23.0,48.0,0.0,1.0,0.0,1.0,4.0,1.0,13.0,1.0,0.0,164.0,0.0,20.0,1.0,0.0,1.0,0.0,17.0,0.0,0.0,8.0,0.0,18.0,5.0,0.0,7.0,0.0,0.0,0.0,11.0,27.0,3.0,0.0,16.0,0.0,3.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,90.0,2.0,19.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,23.0,0.0,7.0,0.0,0.0,0.0,7.0,1.0,1.0,35.0,10.0,0.0,0.0,9.0,0.0,1.0,6.0,1.0,0.0,5.0,4.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,27.0,0.0,45.0,4.0,8.0,1.0,0.0,13.0,8.0
Angola,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,19.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,81.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,9.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,22.0,1.0,0.0,3.0,0.0,1.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,0.0,1.0,217.0,9.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0,25.0,1.0,0.0,0.0,6.0,1.0,3.0,26.0,1.0,0.0,2.0,13.0,0.0,1.0,4.0,0.0,0.0,25.0,0.0,0.0,10.0,5.0,1.0,0.0,1.0,1.0,78.0,0.0,38.0,2.0,0.0,0.0,2.0,10.0,29.0
Djibouti,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,0.0,5.0,0.0,4.0,1.0,2.0,4.0,0.0,0.0,1.0,10.0,1.0,7.0,3.0,1.0,41.0,3.0,2.0,0.0,0.0,2.0,4.0,17.0,16.0,0.0,17.0,2.0,1.0,2.0,1.0,10.0,0.0,18.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,6.0,1.0,0.0,0.0,6.0,11.0,4.0,0.0,8.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,117.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,13.0,0.0,6.0,1.0,0.0,0.0,1.0,13.0,1.0,11.0,5.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,46.0,0.0,8.0,4.0,0.0,0.0,0.0,10.0,4.0
Algeria,0.0,1.0,0.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,56.0,0.0,6.0,0.0,0.0,0.0,1.0,5.0,37.0,0.0,11.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,85.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,12.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,8.0,10.0,0.0,3.0,0.0,2.0,4.0
Uganda,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,30.0,11.0,40.0,2.0,2.0,0.0,0.0,6.0,4.0,8.0,2.0,0.0,1504.0,0.0,17.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,11.0,24.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,50.0,20.0,1.0,3.0,0.0,1.0,0.0,91.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,83.0,15.0,49.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,5.0,37.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,16.0,15.0,0.0,0.0,3.0,0.0,4.0,4.0,2.0,0.0,26.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,17.0,0.0,17.0,21.0,0.0,5.0,0.0,13.0,79.0
Argentina,0.0,3.0,1.0,4.0,3.0,38.0,92.0,0.0,1.0,31.0,12.0,16.0,4.0,7.0,1.0,9.0,0.0,2.0,2.0,0.0,17.0,2.0,188.0,9.0,1.0,53.0,11.0,4.0,0.0,0.0,2.0,4.0,48.0,1.0,0.0,3.0,0.0,22.0,15.0,5.0,3.0,4.0,307.0,0.0,27.0,58.0,45.0,0.0,21.0,0.0,1.0,0.0,78.0,0.0,0.0,0.0,3.0,6.0,299.0,32.0,0.0,0.0,0.0,0.0,2.0,51.0,0.0,75.0,19.0,3.0,0.0,0.0,1.0,7.0,0.0,4.0,5.0,18.0,12.0,0.0,28.0,18.0,4.0,0.0,39.0,14.0,4.0,96.0,13.0,0.0,5.0,6.0,0.0,5.0,0.0,3.0,0.0,87.0,44.0,0.0,6.0,9.0,0.0,34.0,7.0,1.0,63.0,0.0,13.0,14.0,0.0,0.0,0.0,35.0,115.0
Rwanda,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,307.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,7.0,10.0,1.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,4.0,13.0
Thailand,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,52.0,3.0,14.0,0.0,33.0,0.0,2.0,0.0,0.0,14.0,3.0,221.0,3.0,0.0,58.0,7.0,24.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,26.0,1.0,6.0,5.0,0.0,0.0,0.0,19.0,9.0,12.0,0.0,34.0,4.0,0.0,0.0,48.0,7.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,7.0,0.0,1.0,55.0,0.0,47.0,3.0,6.0,0.0,1.0,1.0,6.0,0.0,2.0,2.0,1.0,6.0,0.0,24.0,1.0,0.0,0.0,7.0,1.0,2.0,26.0,6.0,0.0,0.0,9.0,0.0,8.0,1.0,0.0,1.0,12.0,20.0,0.0,5.0,6.0,0.0,3.0,4.0,0.0,30.0,0.0,24.0,0.0,0.0,1.0,0.0,49.0,55.0
Kyrgyzstan,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,28.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0
Mali,0.0,1.0,0.0,2.0,3.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,1.0,11.0,0.0,45.0,0.0,1.0,0.0,1.0,4.0,6.0,6.0,64.0,2.0,67.0,1.0,6.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,5.0,0.0,9.0,6.0,2.0,2.0,13.0,0.0,0.0,4.0,5.0,5.0,0.0,10.0,0.0,0.0,1.0,17.0,0.0,1.0,0.0,12.0,1.0,16.0,1.0,0.0,0.0,15.0,0.0,0.0,116.0,0.0,120.0,18.0,1.0,0.0,0.0,8.0,0.0,16.0,1.0,9.0,4.0,4.0,0.0,2.0,3.0,1.0,0.0,4.0,2.0,1.0,8.0,2.0,0.0,0.0,7.0,0.0,2.0,10.0,3.0,0.0,1.0,3.0,0.0,4.0,1.0,6.0,3.0,1.0,0.0,36.0,0.0,13.0,12.0,3.0,2.0,0.0,5.0,2.0
"Korea, Republic of",0.0,2.0,0.0,25.0,0.0,8.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,52.0,0.0,6.0,4.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,5.0,0.0,3.0,5.0,9.0,1.0,7.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0
Yemen,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,845.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,189.0,0.0,62.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,23.0,0.0,135.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,52.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,5.0
Hungary,0.0,31.0,0.0,23.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,7.0,0.0,14.0,1.0,4.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,19.0,59.0,18.0,1.0,12.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,6.0,0.0,41.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,11.0,0.0,5.0,0.0,2.0,36.0,0.0,2.0,59.0
Nigeria,0.0,2.0,1.0,23.0,2.0,0.0,2.0,4.0,0.0,0.0,3.0,1.0,9.0,106.0,0.0,108.0,0.0,3.0,0.0,0.0,24.0,6.0,6.0,2.0,4.0,219.0,2.0,25.0,1.0,0.0,1.0,0.0,12.0,1.0,0.0,9.0,0.0,41.0,16.0,0.0,12.0,1.0,19.0,0.0,22.0,71.0,36.0,2.0,26.0,3.0,5.0,0.0,50.0,0.0,0.0,282.0,1.0,0.0,90.0,0.0,5.0,1.0,3.0,0.0,4.0,285.0,3.0,113.0,50.0,5.0,0.0,0.0,1.0,2.0,15.0,2.0,4.0,4.0,201.0,0.0,4.0,12.0,0.0,0.0,6.0,7.0,225.0,71.0,10.0,0.0,1.0,13.0,0.0,5.0,1.0,7.0,0.0,14.0,16.0,1.0,6.0,1.0,7.0,1.0,8.0,0.0,94.0,0.0,118.0,11.0,1.0,1.0,0.0,42.0,24.0
Namibia,0.0,2.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,27.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
Belarus,0.0,1.0,0.0,2.0,12.0,2.0,1.0,0.0,0.0,0.0,9.0,1.0,3.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,11.0,9.0,0.0,1.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,5.0,0.0,65.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0,7.0,0.0,37.0,0.0,0.0,0.0,4.0,6.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,14.0,1.0,1.0,3.0,0.0,2.0,4.0,0.0,35.0,1.0,8.0,7.0,0.0,0.0,0.0,10.0,6.0
Finland,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,5.0,0.0,19.0,0.0,2.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,8.0,6.0,22.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,3.0,0.0,7.0,1.0,0.0,0.0,22.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,65.0,2.0,2.0,0.0,0.0,11.0,1.0,0.0,2.0,3.0,0.0,17.0,0.0,3.0,10.0,0.0,0.0,5.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Turkmenistan,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,57.0,0.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0
