,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Mongolia,0.0,3.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,85.0,0.0,0.0,10.0,0.0,3.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0
Svalbard and Jan Mayen,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,40.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,1.0,87.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Austria,0.0,0.0,4.0,18.0,3.0,4.0,8.0,0.0,5.0,1.0,5.0,5.0,5.0,1.0,0.0,20.0,0.0,1014.0,0.0,0.0,26.0,14.0,4.0,20.0,0.0,65.0,4.0,12.0,1.0,0.0,3.0,0.0,33.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,1.0,7.0,2.0,0.0,14.0,53.0,34.0,0.0,39.0,11.0,0.0,0.0,137.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,11.0,0.0,17.0,13.0,6.0,79.0,11.0,1.0,0.0,0.0,0.0,5.0,4.0,3.0,10.0,5.0,20.0,0.0,9.0,4.0,7.0,0.0,3.0,8.0,12.0,13.0,44.0,0.0,1.0,0.0,0.0,2.0,3.0,17.0,0.0,21.0,8.0,2.0,5.0,15.0,0.0,2.0,2.0,0.0,24.0,0.0,16.0,2.0,1.0,4.0,0.0,3.0,36.0
El Salvador,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,3.0,0.0,381.0,0.0,0.0,106.0,0.0,17.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,14.0,1.0,0.0,0.0,3.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,54.0
Serbia,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,12.0,0.0,638.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,16.0,2.0,4.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,19.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,9.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,6.0
Philippines,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,23.0,1.0,498.0,0.0,3654.0,0.0,0.0,21.0,0.0,240.0,2.0,1.0,55.0,2.0,1159.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,13.0,0.0,19.0,5.0,0.0,2.0,0.0,0.0,1.0,6.0,18.0,21.0,0.0,7.0,3.0,5.0,0.0,99.0,3.0,1.0,0.0,0.0,0.0,12.0,9.0,0.0,1.0,0.0,0.0,32.0,24.0,1.0,91.0,2.0,0.0,0.0,0.0,2.0,5.0,17.0,0.0,2.0,55.0,116.0,0.0,20.0,4.0,0.0,0.0,9.0,8.0,44.0,15.0,8.0,19.0,0.0,37.0,0.0,2.0,0.0,14.0,4.0,31.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,40.0,5.0,0.0,0.0,0.0,11.0,28.0
Thailand,0.0,0.0,2.0,21.0,2.0,4.0,6.0,0.0,0.0,0.0,4.0,8.0,1.0,4.0,1.0,58.0,0.0,1000.0,0.0,0.0,47.0,9.0,59.0,4.0,0.0,74.0,1.0,51.0,3.0,0.0,1.0,0.0,14.0,0.0,0.0,1.0,2.0,57.0,0.0,0.0,4.0,5.0,0.0,2.0,11.0,25.0,26.0,8.0,11.0,7.0,3.0,0.0,79.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,18.0,0.0,74.0,31.0,5.0,51.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,67.0,6.0,2.0,11.0,8.0,1.0,0.0,8.0,1.0,34.0,7.0,10.0,0.0,0.0,1.0,0.0,10.0,18.0,5.0,0.0,18.0,11.0,2.0,8.0,3.0,0.0,3.0,1.0,3.0,165.0,0.0,7.0,2.0,0.0,6.0,0.0,18.0,34.0
Ethiopia,0.0,0.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,25.0,0.0,9.0,0.0,234.0,0.0,0.0,11.0,4.0,3.0,8.0,1.0,37.0,0.0,6.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,7.0,7.0,3.0,1.0,2.0,0.0,0.0,1.0,4.0,3.0,2.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,66.0,0.0,56.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,5.0,20.0,24.0,4.0,1.0,1.0,0.0,9.0,1.0,3.0,10.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,8.0,1.0,0.0,2.0,2.0,4.0,0.0,1.0,2.0,10.0,0.0,5.0,5.0,0.0,0.0,1.0,12.0,4.0
Barbados,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,66.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
Hungary,0.0,0.0,1.0,90.0,4.0,13.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,16.0,0.0,740.0,0.0,0.0,13.0,7.0,3.0,21.0,0.0,48.0,1.0,7.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,6.0,0.0,5.0,0.0,7.0,19.0,14.0,0.0,28.0,4.0,1.0,0.0,96.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,25.0,7.0,0.0,38.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,5.0,2.0,3.0,1.0,5.0,2.0,1.0,0.0,2.0,1.0,18.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,19.0,3.0,0.0,3.0,8.0,1.0,2.0,0.0,0.0,25.0,0.0,5.0,0.0,0.0,15.0,1.0,3.0,34.0
Guinea,0.0,0.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,12.0,1.0,17.0,0.0,144.0,0.0,1.0,1.0,2.0,2.0,3.0,60.0,1319.0,2.0,21.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,8.0,151.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,3.0,0.0,12.0,0.0,0.0,16.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,107.0,367.0,23.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,1.0,12.0,5.0,4.0,0.0,14.0,0.0,2.0,7.0,6.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,16.0,0.0,91.0,1.0,1.0,2.0,1.0,20.0,3.0
Haiti,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,231.0,0.0,5.0,0.0,254.0,0.0,0.0,1.0,1.0,0.0,82.0,0.0,36.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,17.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,4.0
Jersey,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,225.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,11.0,0.0,6.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,8.0,0.0,3.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0
"Bolivia, Plurinational State of",0.0,0.0,1.0,1.0,1.0,0.0,12.0,0.0,0.0,8.0,1.0,6.0,0.0,3.0,0.0,3.0,0.0,874.0,0.0,0.0,2.0,1.0,28.0,0.0,2.0,31.0,1.0,33.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,9.0,0.0,4.0,6.0,2.0,0.0,4.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,16.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,10.0,0.0,47.0,3.0,1.0,0.0,7.0,2.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,25.0
"Korea, Democratic People's Republic of",0.0,0.0,1.0,21.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,269.0,0.0,0.0,13.0,0.0,3.0,8.0,0.0,12.0,0.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,14.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0
Hong Kong,0.0,0.0,0.0,91.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,45.0,0.0,367.0,0.0,0.0,75.0,0.0,5.0,0.0,1.0,36.0,0.0,27.0,8.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,3.0,22.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,31.0,17.0,1.0,30.0,1.0,0.0,0.0,156.0,2.0,0.0,0.0,2.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,34.0,4.0,4.0,37.0,0.0,0.0,0.0,0.0,11.0,27.0,0.0,0.0,3.0,172.0,10.0,0.0,1.0,4.0,0.0,0.0,5.0,16.0,63.0,3.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,87.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,3.0,9.0
Switzerland,0.0,0.0,0.0,46.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,3.0,7.0,13.0,0.0,57.0,0.0,1206.0,0.0,1.0,118.0,3.0,11.0,36.0,5.0,135.0,2.0,44.0,0.0,0.0,3.0,2.0,36.0,0.0,0.0,3.0,0.0,9.0,12.0,1.0,1.0,3.0,11.0,6.0,1.0,32.0,53.0,8.0,58.0,53.0,0.0,0.0,156.0,0.0,1.0,1.0,4.0,2.0,7.0,3.0,1.0,0.0,10.0,0.0,23.0,72.0,13.0,111.0,5.0,1.0,0.0,0.0,5.0,7.0,12.0,0.0,3.0,31.0,20.0,0.0,2.0,13.0,0.0,0.0,14.0,4.0,38.0,24.0,27.0,0.0,0.0,7.0,0.0,3.0,2.0,4.0,1.0,32.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,33.0,0.0,5.0,5.0,2.0,3.0,0.0,32.0,34.0
Bahrain,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,326.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,3.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,4.0,0.0,0.0,1.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,20.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0
Pakistan,0.0,0.0,0.0,6.0,1.0,0.0,4.0,1.0,2.0,0.0,3.0,3.0,0.0,71.0,0.0,49.0,10.0,816.0,0.0,0.0,7.0,1.0,79.0,35.0,0.0,46.0,0.0,18.0,2.0,0.0,3.0,0.0,17.0,1.0,0.0,3.0,0.0,16.0,1.0,0.0,1.0,12.0,5.0,0.0,23.0,100.0,68.0,5.0,9.0,5.0,0.0,0.0,59.0,0.0,0.0,0.0,1.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,124.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,13.0,466.0,0.0,39.0,3.0,1.0,0.0,9.0,3.0,10.0,4.0,10.0,0.0,0.0,1.0,0.0,6.0,6.0,24.0,0.0,46.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,23.0,0.0,83.0,29.0,4.0,1.0,0.0,25.0,10.0
Azerbaijan,0.0,0.0,0.0,20.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,16.0,0.0,508.0,0.0,0.0,12.0,2.0,0.0,4.0,0.0,33.0,0.0,6.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,8.0,11.0,0.0,4.0,1.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,2.0,0.0,5.0,10.0,0.0,0.0,6.0,3.0,9.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0
Tunisia,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,604.0,0.0,0.0,3.0,0.0,0.0,32.0,0.0,5.0,0.0,36.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0
"Moldova, Republic of",0.0,0.0,0.0,58.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,556.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,13.0,0.0,0.0,0.0,3.0,15.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,13.0,0.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0
Morocco,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,36.0,0.0,1046.0,0.0,0.0,5.0,1.0,0.0,65.0,1.0,52.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,24.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,9.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,59.0,0.0,3.0,6.0,0.0,2.0,0.0,4.0,1.0
Costa Rica,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,3.0,0.0,416.0,0.0,0.0,4.0,3.0,9.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,99.0,31.0,0.0,3.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,5.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,15.0
Czechia,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,9.0,0.0,577.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,17.0,0.0,0.0,1.0,52.0,3.0,0.0,2.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,6.0,1.0,247.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,10.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
Singapore,0.0,0.0,0.0,34.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,97.0,0.0,502.0,1.0,2.0,154.0,5.0,27.0,0.0,0.0,26.0,0.0,50.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,33.0,16.0,0.0,0.0,1.0,0.0,0.0,4.0,28.0,20.0,1.0,3.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,25.0,0.0,96.0,1.0,0.0,0.0,2.0,0.0,25.0,0.0,1.0,1.0,20.0,7.0,0.0,1.0,6.0,0.0,0.0,3.0,1.0,75.0,17.0,70.0,2.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,12.0,6.0,0.0,0.0,0.0,1.0,11.0
Sierra Leone,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,7.0,0.0,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,238.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,12.0,0.0
Myanmar,0.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,417.0,0.0,0.0,39.0,3.0,4.0,8.0,0.0,18.0,2.0,10.0,3.0,2.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,0.0,6.0,2.0,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,11.0,41.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,183.0,4.0,0.0,2.0,0.0,3.0,0.0,4.0,2.0,15.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,13.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,38.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,3.0
