,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Kyrgyzstan,0.0,5.0,0.0,4.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,16.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,14.0,0.0,12.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0
Swaziland,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Sri Lanka,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,0.0,384.0,0.0,0.0,5.0,1.0,19.0,0.0,0.0,8.0,0.0,7.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,1.0,19.0,5.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,60.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,6.0,5.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0
Turkey,0.0,2.0,1.0,59.0,1.0,1.0,3.0,0.0,3.0,0.0,17.0,7.0,3.0,36.0,0.0,163.0,7.0,2393.0,4.0,0.0,190.0,21.0,21.0,58.0,2.0,63.0,17.0,21.0,2.0,0.0,11.0,0.0,60.0,0.0,0.0,1.0,1.0,174.0,37.0,0.0,3.0,1.0,1.0,3.0,30.0,84.0,39.0,8.0,52.0,3.0,0.0,0.0,188.0,0.0,0.0,0.0,1.0,7.0,14.0,0.0,0.0,0.0,6.0,0.0,60.0,67.0,2.0,152.0,5.0,8.0,0.0,1.0,2.0,5.0,1.0,7.0,4.0,58.0,27.0,1.0,19.0,286.0,1.0,0.0,20.0,19.0,111.0,28.0,41.0,2.0,42.0,0.0,0.0,2.0,13.0,47.0,0.0,43.0,1.0,0.0,26.0,7.0,1.0,2.0,21.0,0.0,130.0,0.0,15.0,33.0,1.0,60.0,11.0,37.0,102.0
Mauritania,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nigeria,0.0,4.0,2.0,69.0,4.0,2.0,1.0,21.0,5.0,0.0,76.0,8.0,5.0,459.0,1.0,177.0,1.0,3244.0,0.0,2.0,103.0,11.0,6.0,3.0,2.0,535.0,2.0,95.0,1.0,0.0,3.0,0.0,61.0,3.0,0.0,22.0,0.0,109.0,17.0,2.0,12.0,3.0,1.0,0.0,23.0,68.0,44.0,5.0,22.0,4.0,12.0,0.0,274.0,0.0,0.0,53.0,1.0,3.0,220.0,3.0,0.0,1.0,13.0,0.0,126.0,385.0,0.0,301.0,20.0,0.0,0.0,0.0,7.0,8.0,26.0,1.0,8.0,61.0,184.0,8.0,26.0,51.0,0.0,0.0,10.0,8.0,305.0,59.0,17.0,0.0,0.0,16.0,0.0,7.0,9.0,138.0,3.0,53.0,11.0,8.0,18.0,5.0,2.0,1.0,3.0,0.0,337.0,0.0,127.0,32.0,0.0,5.0,1.0,73.0,71.0
Latvia,0.0,1.0,0.0,29.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,19.0,0.0,723.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,5.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
Liberia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,1.0,0.0,0.0,1.0,4.0,1.0
Mozambique,0.0,1.0,0.0,3.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,61.0,1.0,4.0,0.0,250.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,69.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0
"Taiwan, Province of China",0.0,1.0,0.0,9.0,0.0,3.0,1.0,0.0,3.0,0.0,4.0,4.0,1.0,0.0,0.0,83.0,0.0,725.0,0.0,0.0,11.0,4.0,8.0,0.0,0.0,52.0,1.0,21.0,2.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,1.0,19.0,1.0,0.0,0.0,2.0,1.0,0.0,8.0,29.0,18.0,2.0,15.0,1.0,0.0,0.0,87.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,72.0,10.0,0.0,18.0,2.0,0.0,0.0,0.0,10.0,27.0,1.0,2.0,1.0,133.0,10.0,1.0,2.0,2.0,5.0,0.0,4.0,4.0,78.0,11.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,0.0,24.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0,29.0
"Congo, The Democratic Republic of the",0.0,4.0,0.0,14.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,123.0,4.0,30.0,32.0,498.0,2.0,1.0,7.0,11.0,4.0,11.0,0.0,827.0,0.0,8.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,6.0,6.0,5.0,1.0,0.0,3.0,1.0,16.0,0.0,4.0,7.0,8.0,1.0,33.0,10.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,1.0,5.0,0.0,24.0,61.0,4.0,170.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,6.0,4.0,38.0,3.0,4.0,13.0,3.0,0.0,18.0,7.0,21.0,13.0,18.0,0.0,1.0,5.0,0.0,3.0,6.0,35.0,0.0,5.0,2.0,0.0,3.0,8.0,1.0,0.0,2.0,0.0,38.0,0.0,17.0,1.0,1.0,17.0,1.0,22.0,24.0
Colombia,0.0,1.0,1.0,4.0,1.0,2.0,62.0,0.0,11.0,8.0,11.0,2.0,0.0,3.0,0.0,20.0,0.0,1665.0,0.0,3.0,16.0,9.0,51.0,8.0,0.0,72.0,2.0,14.0,12.0,0.0,1.0,25.0,33.0,0.0,0.0,3.0,1.0,13.0,7.0,2.0,0.0,5.0,5.0,0.0,11.0,21.0,20.0,0.0,20.0,5.0,0.0,0.0,68.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0,1.0,2.0,2.0,0.0,33.0,31.0,1.0,66.0,3.0,2.0,0.0,0.0,3.0,0.0,6.0,1.0,4.0,17.0,7.0,0.0,20.0,4.0,3.0,2.0,17.0,16.0,28.0,17.0,37.0,4.0,0.0,2.0,0.0,2.0,2.0,8.0,2.0,26.0,2.0,3.0,4.0,7.0,0.0,0.0,0.0,2.0,26.0,0.0,5.0,5.0,0.0,2.0,0.0,10.0,35.0
Poland,0.0,1.0,0.0,176.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,870.0,0.0,0.0,6.0,4.0,6.0,18.0,0.0,17.0,0.0,16.0,1.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,18.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,6.0,11.0,1.0,9.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,9.0,0.0,16.0,0.0,1.0,43.0,0.0,8.0,5.0,0.0,1.0,4.0,0.0,3.0,6.0,2.0,35.0,0.0,9.0,3.0,1.0,0.0,10.0,4.0,12.0,7.0,126.0,0.0,0.0,0.0,0.0,19.0,0.0,6.0,0.0,7.0,2.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,460.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,14.0
Greece,0.0,2.0,0.0,16.0,0.0,1.0,2.0,0.0,128.0,0.0,1.0,1.0,0.0,4.0,0.0,215.0,0.0,4434.0,1.0,0.0,16.0,5.0,8.0,3.0,0.0,70.0,2.0,15.0,1.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,80.0,4.0,0.0,4.0,1.0,0.0,0.0,5.0,11.0,2.0,4.0,18.0,3.0,1.0,0.0,82.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,6.0,2.0,0.0,41.0,24.0,0.0,133.0,30.0,0.0,0.0,0.0,1.0,18.0,2.0,1.0,23.0,7.0,9.0,2.0,2.0,3.0,0.0,0.0,0.0,55.0,41.0,14.0,6.0,0.0,2.0,0.0,0.0,21.0,0.0,23.0,0.0,14.0,7.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,14.0,17.0,3.0,11.0,1.0,22.0,17.0
Malta,0.0,1.0,0.0,0.0,0.0,2.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,478.0,0.0,0.0,40.0,0.0,1.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,5.0,3.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
Monaco,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,118.0,0.0,0.0,3.0,2.0,0.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Congo,0.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,14.0,1.0,86.0,0.0,31.0,14.0,182.0,0.0,0.0,2.0,1.0,7.0,4.0,0.0,1579.0,6.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,12.0,49.0,3.0,201.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,33.0,0.0,0.0,8.0,2.0,0.0,18.0,0.0,39.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,6.0,22.0,1.0,6.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,24.0,1.0,8.0,2.0,0.0,0.0,0.0,64.0,7.0
Armenia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,203.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
Finland,0.0,1.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,21.0,0.0,494.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,27.0,1.0,7.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,3.0,6.0,7.0,0.0,6.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,6.0,2.0,0.0,16.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,8.0,0.0,2.0,0.0,7.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,60.0,0.0,0.0,1.0,0.0,10.0,0.0,6.0,0.0,12.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
South Sudan,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,9.0,0.0,67.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,10.0,0.0,0.0,6.0,0.0
Puerto Rico,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,6.0,21.0,0.0,435.0,0.0,0.0,3.0,2.0,12.0,1.0,0.0,7.0,0.0,11.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,5.0,22.0,0.0,7.0,5.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,1.0,19.0,1.0,1.0,0.0,2.0,0.0,7.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,13.0,3.0,1.0,0.0,2.0,1.0,4.0,7.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,6.0,0.0,5.0,21.0
Netherlands,0.0,2.0,2.0,110.0,3.0,10.0,0.0,0.0,4.0,0.0,4.0,3.0,1.0,3.0,2.0,46.0,0.0,1791.0,0.0,0.0,48.0,12.0,7.0,4.0,0.0,46.0,0.0,19.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,4.0,7.0,1.0,1.0,5.0,2.0,0.0,5.0,26.0,18.0,0.0,22.0,5.0,0.0,0.0,78.0,0.0,0.0,0.0,6.0,0.0,3.0,2.0,1.0,1.0,56.0,0.0,22.0,26.0,4.0,76.0,30.0,5.0,0.0,0.0,3.0,10.0,6.0,3.0,7.0,21.0,20.0,19.0,18.0,70.0,5.0,1.0,27.0,5.0,47.0,23.0,41.0,0.0,1.0,4.0,1.0,5.0,6.0,18.0,1.0,24.0,7.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,34.0,0.0,7.0,9.0,1.0,7.0,0.0,16.0,20.0
Syrian Arab Republic,0.0,1.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,18.0,0.0,10.0,0.0,389.0,0.0,0.0,0.0,1.0,3.0,99.0,0.0,24.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,3.0,0.0,2.0,0.0,10.0,8.0,12.0,0.0,3.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,6.0,0.0,0.0,0.0,1.0,8.0,1.0,2.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,6.0
Nepal,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,215.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,15.0,0.0,0.0,2.0,5.0
Somalia,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,16.0,1.0,7.0,0.0,288.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,0.0,1.0,1.0,155.0,0.0,2.0,1.0,0.0,9.0,1.0,4.0,1.0,23.0,21.0,1.0,41.0,0.0,1157.0,0.0,0.0,25.0,12.0,3.0,12.0,0.0,48.0,1.0,26.0,0.0,0.0,6.0,0.0,37.0,0.0,0.0,1.0,0.0,6.0,6.0,2.0,2.0,9.0,0.0,0.0,8.0,16.0,26.0,2.0,53.0,3.0,0.0,0.0,163.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,22.0,0.0,18.0,15.0,0.0,56.0,9.0,2.0,0.0,0.0,15.0,6.0,1.0,1.0,15.0,13.0,31.0,5.0,15.0,30.0,4.0,0.0,9.0,8.0,20.0,17.0,64.0,0.0,0.0,0.0,0.0,4.0,9.0,9.0,0.0,24.0,14.0,2.0,0.0,9.0,0.0,7.0,0.0,0.0,38.0,4.0,11.0,1.0,0.0,0.0,0.0,10.0,26.0
Cuba,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,12.0,0.0,24.0,0.0,6.0,0.0,1480.0,1.0,1.0,2.0,1.0,36.0,17.0,0.0,106.0,0.0,5.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,11.0,5.0,1.0,0.0,41.0,0.0,0.0,2.0,100.0,56.0,0.0,12.0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,4.0,15.0,0.0,29.0,8.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,7.0,24.0,0.0,9.0,2.0,0.0,0.0,2.0,1.0,31.0,10.0,1.0,0.0,26.0,0.0,0.0,1.0,0.0,14.0,0.0,32.0,8.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,21.0,1.0,0.0,1.0,0.0,23.0,69.0
Belgium,0.0,1.0,1.0,75.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,7.0,2.0,6.0,1.0,67.0,0.0,2223.0,0.0,1.0,15.0,12.0,8.0,6.0,0.0,112.0,0.0,17.0,1.0,0.0,4.0,1.0,53.0,0.0,0.0,0.0,0.0,23.0,5.0,1.0,5.0,3.0,0.0,0.0,5.0,35.0,22.0,0.0,20.0,9.0,1.0,0.0,187.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,29.0,12.0,3.0,93.0,4.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,6.0,15.0,10.0,1.0,7.0,17.0,0.0,0.0,8.0,24.0,37.0,16.0,36.0,0.0,0.0,4.0,2.0,5.0,2.0,6.0,0.0,31.0,6.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,24.0,0.0,7.0,2.0,0.0,8.0,0.0,22.0,31.0
