,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Turkey,0.0,7.0,0.0,52.0,0.0,12.0,7.0,0.0,3.0,1.0,9.0,1.0,3.0,2.0,0.0,16.0,0.0,1093.0,3.0,0.0,34.0,8.0,2.0,41.0,2.0,17.0,6.0,14.0,4.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,194.0,26.0,0.0,3.0,2.0,0.0,0.0,13.0,36.0,23.0,4.0,58.0,3.0,1.0,0.0,104.0,0.0,2.0,0.0,1.0,2.0,13.0,3.0,0.0,0.0,2.0,0.0,7.0,23.0,3.0,53.0,31.0,4.0,0.0,0.0,24.0,8.0,0.0,18.0,2.0,21.0,9.0,0.0,41.0,270.0,0.0,0.0,16.0,2.0,44.0,49.0,20.0,0.0,43.0,3.0,0.0,1.0,15.0,51.0,0.0,43.0,3.0,0.0,17.0,8.0,1.0,1.0,0.0,0.0,50.0,0.0,16.0,9.0,0.0,2.0,15.0,6.0,15.0
Haiti,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,50.0,0.0,3.0,0.0,75.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,7.0
Ethiopia,0.0,5.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,7.0,3.0,1.0,0.0,205.0,0.0,0.0,6.0,1.0,1.0,5.0,1.0,44.0,0.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,5.0,2.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,3.0,0.0,2.0,89.0,1.0,60.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,7.0,0.0,3.0,8.0,0.0,0.0,1.0,5.0,3.0,33.0,4.0,0.0,3.0,18.0,0.0,2.0,6.0,9.0,0.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,23.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0
Afghanistan,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,10.0,1.0,388.0,0.0,0.0,11.0,0.0,54.0,32.0,0.0,68.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,2.0,0.0,3.0,2.0,0.0,5.0,8.0,6.0,0.0,2.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,42.0,0.0,718.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,9.0,39.0,357.0,3.0,11.0,4.0,0.0,0.0,5.0,20.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,12.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0,5.0
"Korea, Republic of",0.0,1.0,0.0,139.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0,414.0,1.0,0.0,25.0,4.0,1.0,0.0,0.0,12.0,0.0,71.0,3.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,7.0,0.0,3.0,43.0,19.0,5.0,3.0,2.0,6.0,0.0,55.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,44.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,2.0,42.0,2.0,4.0,0.0,11.0,0.0,0.0,3.0,0.0,8.0,5.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,7.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,57.0,5.0,0.0,11.0,0.0,1.0,0.0
Ukraine,0.0,170.0,0.0,263.0,1.0,63.0,67.0,0.0,2.0,2.0,10.0,2.0,3.0,51.0,0.0,79.0,3.0,5337.0,1.0,9.0,265.0,4.0,9.0,389.0,8.0,235.0,36.0,28.0,10.0,1.0,5.0,2.0,21.0,0.0,0.0,0.0,6.0,129.0,16.0,0.0,2.0,73.0,59.0,0.0,22.0,102.0,62.0,4.0,17.0,4.0,1.0,0.0,508.0,1.0,0.0,1.0,2.0,0.0,20.0,56.0,0.0,1.0,3.0,0.0,35.0,42.0,3.0,1077.0,1.0,6.0,0.0,1.0,4.0,8.0,0.0,65.0,1.0,26.0,523.0,4.0,186.0,6.0,11.0,0.0,45.0,159.0,11.0,25.0,15.0,0.0,5.0,0.0,0.0,7.0,0.0,56.0,0.0,23.0,14.0,2.0,16.0,7.0,1.0,1.0,2.0,0.0,174.0,18.0,31.0,19.0,1.0,4.0,0.0,10.0,18.0
South Africa,0.0,4.0,2.0,79.0,1.0,0.0,5.0,0.0,19.0,2.0,9.0,11.0,0.0,9.0,9.0,120.0,0.0,2953.0,0.0,0.0,44.0,10.0,10.0,8.0,1.0,342.0,1.0,141.0,2.0,0.0,18.0,0.0,42.0,0.0,0.0,2.0,0.0,47.0,5.0,0.0,4.0,2.0,1.0,0.0,5.0,17.0,20.0,1.0,38.0,3.0,0.0,0.0,422.0,2.0,2.0,5.0,5.0,3.0,4.0,8.0,5.0,1.0,3.0,0.0,170.0,102.0,35.0,218.0,14.0,0.0,1.0,0.0,18.0,14.0,3.0,2.0,6.0,66.0,35.0,0.0,21.0,70.0,4.0,0.0,10.0,6.0,146.0,25.0,27.0,0.0,3.0,6.0,0.0,5.0,3.0,33.0,0.0,107.0,2.0,18.0,3.0,7.0,1.0,0.0,1.0,0.0,83.0,0.0,67.0,10.0,1.0,8.0,0.0,10.0,35.0
Uganda,0.0,4.0,0.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,8.0,9.0,4.0,0.0,177.0,0.0,0.0,9.0,2.0,3.0,0.0,0.0,76.0,0.0,8.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,6.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,15.0,2.0,2.0,4.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,71.0,3.0,15.0,7.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,65.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,5.0,15.0,11.0,0.0,0.0,8.0,2.0,0.0,11.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,20.0,4.0,1.0,1.0,0.0,15.0,11.0
Hungary,0.0,1.0,0.0,335.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,8.0,1.0,354.0,0.0,0.0,7.0,3.0,0.0,4.0,0.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,5.0,2.0,0.0,2.0,2.0,4.0,1.0,9.0,1.0,0.0,0.0,189.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,175.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
Lithuania,0.0,7.0,0.0,7.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,309.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,6.0,5.0,0.0,3.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,13.0,0.0,238.0,1.0,0.0,15.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,9.0,3.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
Uruguay,0.0,4.0,0.0,4.0,1.0,2.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,7.0,0.0,241.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,7.0,1.0,3.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,6.0,0.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,6.0,6.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0
Kuwait,0.0,4.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,171.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Egypt,0.0,2.0,1.0,164.0,1.0,2.0,21.0,0.0,3.0,1.0,12.0,0.0,0.0,20.0,34.0,9.0,1.0,1054.0,1.0,0.0,0.0,1.0,7.0,217.0,0.0,18.0,1.0,533.0,4.0,0.0,1.0,0.0,21.0,0.0,0.0,13.0,0.0,262.0,5.0,3.0,2.0,0.0,2.0,0.0,4.0,16.0,62.0,1.0,15.0,11.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,8.0,53.0,0.0,46.0,2.0,10.0,1.0,0.0,2.0,45.0,3.0,0.0,19.0,9.0,349.0,0.0,2.0,3.0,3.0,0.0,7.0,14.0,3.0,33.0,6.0,0.0,4.0,9.0,0.0,1.0,2.0,14.0,0.0,6.0,21.0,0.0,2.0,4.0,4.0,2.0,0.0,0.0,16.0,0.0,6.0,27.0,1.0,2.0,0.0,21.0,7.0
Serbia,0.0,1.0,0.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,558.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,3.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0
Indonesia,0.0,16.0,1.0,36.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,17.0,2.0,4.0,0.0,38.0,0.0,1840.0,0.0,0.0,26.0,1.0,226.0,18.0,0.0,91.0,0.0,14.0,0.0,0.0,6.0,0.0,32.0,0.0,0.0,12.0,0.0,15.0,4.0,0.0,1.0,17.0,0.0,0.0,12.0,38.0,17.0,1.0,32.0,8.0,1.0,0.0,147.0,2.0,0.0,1.0,1.0,1.0,11.0,8.0,0.0,0.0,1.0,0.0,16.0,40.0,1.0,25.0,7.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,19.0,36.0,15.0,0.0,6.0,9.0,0.0,0.0,17.0,21.0,11.0,6.0,17.0,0.0,4.0,4.0,0.0,3.0,1.0,3.0,0.0,13.0,3.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,36.0,0.0,21.0,4.0,0.0,0.0,0.0,20.0,26.0
Chile,0.0,1.0,0.0,11.0,1.0,0.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,11.0,0.0,954.0,0.0,0.0,2.0,5.0,1.0,4.0,1.0,6.0,4.0,8.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,21.0,0.0,10.0,5.0,10.0,0.0,5.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,13.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,5.0,6.0,9.0,1.0,0.0,2.0,0.0,6.0,10.0,9.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,14.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0,5.0
Congo,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,41.0,1.0,3.0,13.0,110.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,491.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,49.0,4.0,89.0,27.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,6.0,1.0,0.0,0.0,9.0,0.0,0.0,17.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,11.0,0.0,6.0,1.0,3.0,1.0,0.0,12.0,6.0
Thailand,0.0,2.0,1.0,60.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,11.0,0.0,616.0,0.0,1.0,32.0,1.0,38.0,12.0,0.0,38.0,0.0,23.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,3.0,0.0,24.0,5.0,0.0,11.0,5.0,0.0,0.0,8.0,16.0,16.0,31.0,13.0,2.0,2.0,0.0,73.0,1.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,9.0,1.0,149.0,22.0,0.0,32.0,4.0,8.0,0.0,0.0,7.0,5.0,0.0,1.0,4.0,66.0,6.0,0.0,12.0,15.0,3.0,0.0,16.0,3.0,8.0,54.0,7.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,0.0,10.0,6.0,4.0,6.0,4.0,0.0,2.0,0.0,1.0,239.0,0.0,9.0,5.0,0.0,0.0,0.0,11.0,21.0
Bangladesh,0.0,2.0,1.0,29.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,11.0,0.0,370.0,0.0,0.0,1.0,2.0,214.0,2.0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,2.0,1.0,17.0,7.0,0.0,1.0,3.0,2.0,2.0,0.0,10.0,11.0,0.0,0.0,1.0,3.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,14.0,0.0,0.0,1.0,9.0,0.0,2.0,1.0,0.0,10.0,10.0,1.0,0.0,1.0,3.0,0.0,0.0,9.0,3.0,2.0,3.0,7.0,0.0,2.0,1.0,0.0,6.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,20.0,3.0,3.0,0.0,0.0,0.0,4.0
South Sudan,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,10.0,1.0,1.0,0.0,40.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,8.0,1.0
Greece,0.0,1.0,0.0,105.0,0.0,29.0,2.0,0.0,162.0,0.0,0.0,1.0,0.0,8.0,0.0,112.0,1.0,7155.0,0.0,0.0,4.0,3.0,1.0,9.0,0.0,31.0,14.0,4.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,2.0,0.0,168.0,28.0,1.0,6.0,1.0,0.0,0.0,1.0,10.0,4.0,8.0,10.0,2.0,7.0,0.0,57.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,16.0,16.0,0.0,155.0,5.0,1.0,0.0,0.0,1.0,56.0,0.0,0.0,10.0,11.0,6.0,0.0,3.0,2.0,3.0,0.0,1.0,44.0,32.0,26.0,56.0,0.0,0.0,1.0,0.0,19.0,3.0,12.0,0.0,21.0,5.0,1.0,0.0,16.0,0.0,6.0,0.0,0.0,11.0,0.0,16.0,0.0,3.0,27.0,2.0,5.0,10.0
Mozambique,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,15.0,3.0,6.0,0.0,153.0,0.0,0.0,2.0,1.0,11.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,7.0,50.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0
Guinea,0.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,91.0,0.0,0.0,1.0,0.0,0.0,1.0,98.0,215.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,21.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,14.0,1.0,0.0,0.0,2.0,0.0,1.0,22.0,72.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,1.0,16.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,17.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,3.0
Romania,0.0,1.0,1.0,151.0,2.0,5.0,19.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,93.0,0.0,2269.0,0.0,10.0,13.0,2.0,3.0,4.0,0.0,21.0,3.0,18.0,1.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,68.0,2.0,7.0,1.0,0.0,0.0,134.0,0.0,0.0,0.0,2.0,0.0,6.0,3.0,23.0,0.0,10.0,0.0,15.0,1.0,0.0,33.0,4.0,0.0,0.0,0.0,0.0,47.0,0.0,2.0,4.0,22.0,34.0,0.0,13.0,2.0,0.0,2.0,13.0,8.0,1500.0,9.0,141.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,22.0,8.0,0.0,1.0,3.0,0.0,97.0,0.0,0.0,19.0,0.0,13.0,44.0,0.0,0.0,1.0,1.0,3.0
Central African Republic,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0
Syrian Arab Republic,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,151.0,0.0,0.0,1.0,0.0,5.0,100.0,0.0,25.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,4.0,2.0
Poland,0.0,1.0,3.0,142.0,12.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,732.0,0.0,7.0,7.0,4.0,3.0,291.0,0.0,15.0,2.0,8.0,1.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,16.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,13.0,14.0,2.0,2.0,1.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,16.0,0.0,14.0,3.0,0.0,25.0,0.0,10.0,0.0,1.0,1.0,3.0,0.0,0.0,9.0,8.0,10.0,0.0,28.0,10.0,1.0,0.0,3.0,4.0,4.0,38.0,105.0,0.0,0.0,0.0,0.0,42.0,1.0,2.0,0.0,5.0,6.0,15.0,5.0,4.0,1.0,6.0,0.0,1.0,365.0,0.0,23.0,2.0,0.0,0.0,0.0,1.0,10.0
