,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Ukraine,0.0,4.0,0.0,14.0,1.0,26.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,32.0,0.0,1179.0,0.0,0.0,18.0,5.0,6.0,9.0,0.0,41.0,1.0,3.0,9.0,0.0,5.0,0.0,19.0,0.0,0.0,2.0,0.0,67.0,2.0,0.0,0.0,2.0,0.0,0.0,20.0,19.0,5.0,0.0,3.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,27.0,0.0,10.0,64.0,0.0,282.0,3.0,1.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,7.0,13.0,0.0,61.0,4.0,0.0,0.0,53.0,9.0,24.0,7.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,16.0,6.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,97.0,2.0,10.0,7.0,0.0,12.0,0.0,8.0,11.0
Malta,0.0,1.0,0.0,0.0,0.0,1.0,71.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,405.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,7.0,5.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Monaco,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,98.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
Congo,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,83.0,0.0,11.0,12.0,126.0,0.0,0.0,2.0,1.0,4.0,2.0,0.0,891.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,11.0,4.0,111.0,18.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,3.0,2.0,33.0,0.0,0.0,8.0,2.0,0.0,18.0,0.0,36.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,4.0,18.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,4.0,2.0,0.0,0.0,0.0,59.0,2.0
Armenia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,151.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
Kazakhstan,0.0,5.0,0.0,5.0,0.0,2.0,8.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,13.0,0.0,202.0,0.0,0.0,6.0,3.0,2.0,3.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,0.0,2.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.0,5.0,0.0,7.0,2.0,0.0,1.0,1.0,3.0,22.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0
Finland,0.0,3.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,6.0,0.0,293.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,7.0,1.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,2.0,7.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0,1.0,27.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,9.0,0.0,4.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
South Sudan,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,46.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,11.0,0.0,0.0,5.0,0.0
Kuwait,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
Syrian Arab Republic,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,12.0,0.0,271.0,0.0,0.0,0.0,0.0,2.0,129.0,0.0,12.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,8.0,8.0,0.0,3.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,4.0
Netherlands,0.0,3.0,0.0,162.0,3.0,16.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,2.0,2.0,44.0,0.0,1097.0,0.0,0.0,50.0,11.0,9.0,4.0,1.0,34.0,0.0,13.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,3.0,0.0,5.0,15.0,3.0,3.0,4.0,1.0,0.0,6.0,42.0,20.0,0.0,17.0,3.0,0.0,0.0,65.0,0.0,0.0,1.0,10.0,1.0,3.0,0.0,1.0,0.0,56.0,0.0,12.0,32.0,0.0,68.0,33.0,7.0,0.0,0.0,2.0,9.0,4.0,6.0,8.0,22.0,10.0,22.0,16.0,80.0,6.0,1.0,25.0,4.0,35.0,13.0,30.0,0.0,1.0,2.0,0.0,4.0,6.0,11.0,0.0,17.0,6.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,26.0,0.0,10.0,10.0,2.0,5.0,0.0,10.0,37.0
Nepal,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,210.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,3.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,1.0,12.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,12.0,5.0,8.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,8.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,11.0,18.0,15.0,0.0,0.0,3.0,4.0
Australia,0.0,14.0,3.0,31.0,3.0,8.0,4.0,0.0,8.0,2.0,12.0,6.0,46.0,3.0,4.0,71.0,0.0,1091.0,0.0,0.0,46.0,17.0,40.0,8.0,0.0,128.0,2.0,52.0,3.0,0.0,2.0,15.0,42.0,0.0,0.0,3.0,6.0,76.0,16.0,0.0,23.0,8.0,2.0,20.0,21.0,56.0,65.0,0.0,53.0,17.0,37.0,0.0,592.0,0.0,0.0,1.0,17.0,1.0,21.0,59.0,0.0,0.0,4.0,0.0,88.0,70.0,3.0,132.0,36.0,5.0,0.0,1.0,9.0,7.0,20.0,5.0,30.0,26.0,38.0,2.0,12.0,66.0,3.0,0.0,17.0,11.0,45.0,47.0,20.0,4.0,19.0,7.0,0.0,5.0,3.0,28.0,10.0,120.0,42.0,11.0,29.0,7.0,1.0,2.0,3.0,0.0,60.0,1.0,42.0,30.0,0.0,4.0,0.0,20.0,64.0
Sweden,0.0,2.0,2.0,40.0,0.0,4.0,1.0,0.0,14.0,1.0,5.0,2.0,23.0,7.0,1.0,15.0,0.0,760.0,0.0,0.0,20.0,6.0,3.0,13.0,0.0,34.0,1.0,19.0,0.0,0.0,6.0,0.0,41.0,0.0,0.0,1.0,0.0,6.0,4.0,5.0,3.0,13.0,3.0,0.0,9.0,12.0,27.0,1.0,22.0,2.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,22.0,0.0,11.0,11.0,1.0,48.0,8.0,2.0,0.0,0.0,9.0,9.0,0.0,0.0,14.0,8.0,30.0,2.0,8.0,42.0,2.0,1.0,11.0,7.0,10.0,7.0,44.0,0.0,0.0,1.0,0.0,4.0,3.0,11.0,0.0,19.0,31.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,26.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,18.0
Somalia,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,1.0,8.0,0.0,106.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,18.0,7.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,21.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,1.0,8.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,28.0,1.0,5.0,0.0,1725.0,0.0,1.0,12.0,1.0,61.0,10.0,0.0,83.0,5.0,5.0,1.0,0.0,0.0,5.0,1.0,3.0,0.0,5.0,0.0,22.0,5.0,0.0,0.0,25.0,0.0,0.0,2.0,64.0,41.0,0.0,11.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,6.0,15.0,1.0,32.0,9.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,5.0,9.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,23.0,6.0,1.0,0.0,28.0,0.0,0.0,1.0,0.0,12.0,0.0,19.0,2.0,0.0,21.0,6.0,0.0,5.0,0.0,0.0,9.0,0.0,17.0,2.0,0.0,1.0,0.0,20.0,34.0
Belgium,0.0,1.0,1.0,155.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,6.0,1.0,4.0,1.0,57.0,0.0,1701.0,0.0,0.0,13.0,9.0,4.0,8.0,0.0,77.0,0.0,13.0,0.0,0.0,4.0,1.0,52.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,3.0,0.0,0.0,5.0,30.0,22.0,0.0,13.0,8.0,1.0,0.0,161.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,23.0,13.0,0.0,79.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,2.0,7.0,9.0,0.0,5.0,11.0,0.0,0.0,8.0,25.0,22.0,12.0,27.0,0.0,0.0,2.0,1.0,5.0,5.0,4.0,0.0,24.0,2.0,12.0,5.0,2.0,1.0,1.0,2.0,1.0,15.0,0.0,7.0,3.0,0.0,6.0,0.0,14.0,22.0
Lebanon,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,471.0,0.0,0.0,0.0,1.0,0.0,248.0,0.0,7.0,0.0,63.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0
Bhutan,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,1.0,0.0,29.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,1.0,0.0,72.0,3.0,7.0,0.0,832.0,0.0,0.0,5.0,0.0,7.0,168.0,0.0,57.0,0.0,198.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,57.0,2.0,0.0,3.0,2.0,0.0,0.0,5.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,17.0,3.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,132.0,51.0,1.0,18.0,9.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,6.0,2.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,19.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,4.0,16.0,0.0,0.0,0.0,6.0,6.0
"Korea, Republic of",0.0,8.0,0.0,46.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,26.0,0.0,720.0,0.0,0.0,26.0,0.0,3.0,2.0,0.0,13.0,0.0,26.0,2.0,0.0,0.0,1.0,18.0,0.0,0.0,2.0,1.0,11.0,1.0,0.0,2.0,4.0,5.0,0.0,11.0,14.0,10.0,1.0,4.0,0.0,0.0,0.0,59.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,1.0,10.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,7.0,5.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,5.0,3.0,7.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,1.0,0.0,185.0,0.0,2.0,8.0
Afghanistan,0.0,5.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,25.0,1.0,1096.0,0.0,0.0,11.0,0.0,11.0,168.0,1.0,54.0,0.0,15.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,73.0,7.0,0.0,2.0,2.0,0.0,0.0,17.0,21.0,8.0,0.0,3.0,2.0,0.0,0.0,42.0,2.0,0.0,0.0,4.0,22.0,6.0,2.0,0.0,0.0,1.0,0.0,5.0,39.0,5.0,397.0,5.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,3.0,5.0,232.0,2.0,14.0,8.0,0.0,0.0,7.0,10.0,5.0,20.0,16.0,0.0,0.0,2.0,0.0,7.0,2.0,21.0,0.0,32.0,17.0,0.0,13.0,2.0,0.0,1.0,0.0,0.0,48.0,0.0,12.0,9.0,5.0,1.0,0.0,2.0,3.0
Belarus,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,568.0,1.0,1.0,3.0,3.0,0.0,4.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,0.0,10.0,3.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,30.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,17.0,4.0,0.0,40.0,3.0,0.0,0.0,7.0,1.0,14.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,64.0,7.0,5.0,6.0,0.0,4.0,0.0,5.0,4.0
Mongolia,0.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,83.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,40.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0
Svalbard and Jan Mayen,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,103.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,40.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,94.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Guam,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,56.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jersey,0.0,2.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,263.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,12.0,0.0,7.0,8.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,5.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0
Anguilla,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
