,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Thailand,0.0,0.0,1.0,22.0,2.0,5.0,2.0,1.0,0.0,0.0,3.0,7.0,1.0,4.0,0.0,55.0,0.0,809.0,0.0,0.0,46.0,9.0,39.0,4.0,0.0,76.0,0.0,43.0,3.0,0.0,1.0,0.0,16.0,0.0,0.0,6.0,2.0,61.0,5.0,0.0,1.0,5.0,1.0,2.0,11.0,18.0,18.0,2.0,10.0,5.0,1.0,0.0,64.0,1.0,1.0,0.0,0.0,0.0,26.0,0.0,2.0,0.0,18.0,0.0,44.0,30.0,4.0,56.0,0.0,4.0,0.0,5.0,0.0,3.0,1.0,0.0,3.0,46.0,5.0,1.0,13.0,6.0,4.0,0.0,7.0,3.0,53.0,8.0,7.0,0.0,0.0,1.0,0.0,11.0,10.0,7.0,0.0,16.0,9.0,2.0,7.0,3.0,0.0,3.0,0.0,2.0,134.0,0.0,9.0,0.0,0.0,5.0,0.0,21.0,27.0
Barbados,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,68.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Syrian Arab Republic,0.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,20.0,0.0,10.0,0.0,397.0,0.0,0.0,0.0,1.0,3.0,99.0,0.0,22.0,0.0,9.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.0,0.0,2.0,0.0,9.0,7.0,10.0,0.0,3.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,5.0,0.0,0.0,1.0,11.0,5.0
Belgium,0.0,0.0,1.0,78.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,8.0,1.0,4.0,1.0,58.0,0.0,2399.0,0.0,1.0,13.0,14.0,9.0,3.0,0.0,134.0,0.0,14.0,1.0,0.0,3.0,0.0,48.0,0.0,0.0,0.0,0.0,26.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,35.0,24.0,0.0,22.0,14.0,1.0,0.0,186.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,43.0,16.0,5.0,97.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,6.0,16.0,12.0,2.0,10.0,17.0,0.0,0.0,5.0,25.0,29.0,14.0,29.0,0.0,0.0,4.0,1.0,1.0,2.0,6.0,0.0,22.0,6.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,24.0,0.0,7.0,2.0,0.0,8.0,0.0,33.0,29.0
Hungary,0.0,0.0,1.0,129.0,3.0,7.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,11.0,0.0,16.0,0.0,934.0,0.0,0.0,12.0,7.0,1.0,22.0,0.0,70.0,0.0,13.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,3.0,6.0,0.0,12.0,26.0,7.0,0.0,22.0,2.0,1.0,0.0,143.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,1.0,0.0,8.0,0.0,28.0,7.0,0.0,36.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,16.0,1.0,7.0,1.0,6.0,1.0,2.0,0.0,0.0,1.0,17.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,2.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,39.0,0.0,6.0,1.0,0.0,15.0,1.0,7.0,32.0
Sweden,0.0,0.0,1.0,222.0,0.0,4.0,1.0,0.0,10.0,1.0,5.0,1.0,16.0,22.0,1.0,45.0,0.0,1294.0,0.0,0.0,27.0,10.0,1.0,10.0,0.0,77.0,0.0,25.0,0.0,0.0,6.0,0.0,27.0,0.0,0.0,1.0,0.0,6.0,7.0,2.0,2.0,11.0,0.0,0.0,8.0,14.0,17.0,2.0,53.0,3.0,0.0,0.0,170.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,19.0,0.0,25.0,13.0,0.0,65.0,9.0,1.0,0.0,0.0,17.0,2.0,1.0,4.0,15.0,10.0,19.0,1.0,14.0,30.0,2.0,1.0,10.0,10.0,22.0,18.0,62.0,0.0,0.0,1.0,0.0,6.0,9.0,12.0,0.0,20.0,13.0,2.0,0.0,8.0,0.0,11.0,0.0,0.0,33.0,5.0,12.0,1.0,0.0,0.0,0.0,15.0,23.0
Haiti,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,37.0,0.0,2.0,0.0,151.0,0.0,0.0,0.0,0.0,1.0,82.0,0.0,25.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,6.0
Jersey,0.0,0.0,2.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,131.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,9.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Lithuania,0.0,0.0,0.0,62.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,457.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,2.0,0.0,25.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Senegal,0.0,0.0,0.0,133.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,145.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,102.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,2.0,40.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,60.0,2.0
Lebanon,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,579.0,0.0,0.0,1.0,8.0,0.0,205.0,0.0,20.0,0.0,37.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,11.0,3.0,0.0,12.0,1.0,2.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0
"Korea, Republic of",0.0,0.0,0.0,119.0,0.0,5.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,22.0,0.0,724.0,0.0,0.0,31.0,2.0,2.0,4.0,1.0,27.0,0.0,36.0,2.0,0.0,1.0,0.0,18.0,0.0,0.0,3.0,0.0,4.0,4.0,0.0,2.0,5.0,4.0,0.0,5.0,14.0,7.0,0.0,7.0,2.0,2.0,0.0,96.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,1.0,14.0,1.0,3.0,0.0,1.0,4.0,14.0,1.0,1.0,4.0,12.0,2.0,1.0,1.0,8.0,1.0,0.0,2.0,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,22.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,7.0,1.0,0.0,46.0,0.0,0.0,3.0
Hong Kong,0.0,0.0,0.0,139.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,4.0,0.0,82.0,0.0,487.0,0.0,0.0,101.0,0.0,5.0,1.0,1.0,55.0,0.0,36.0,7.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,3.0,22.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,34.0,19.0,2.0,29.0,1.0,0.0,0.0,206.0,2.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,46.0,1.0,4.0,54.0,0.0,0.0,0.0,0.0,7.0,39.0,0.0,0.0,3.0,179.0,9.0,0.0,2.0,6.0,0.0,0.0,7.0,15.0,93.0,2.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,106.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,20.0,0.0,0.0,0.0,7.0,16.0
Switzerland,0.0,0.0,0.0,67.0,0.0,2.0,0.0,0.0,2.0,4.0,6.0,5.0,4.0,14.0,1.0,66.0,0.0,1481.0,0.0,2.0,159.0,8.0,12.0,37.0,6.0,340.0,3.0,51.0,0.0,0.0,4.0,0.0,29.0,2.0,0.0,5.0,1.0,4.0,10.0,1.0,1.0,4.0,10.0,6.0,1.0,24.0,55.0,13.0,65.0,62.0,0.0,0.0,248.0,0.0,1.0,1.0,1.0,2.0,15.0,1.0,2.0,0.0,14.0,0.0,32.0,72.0,1.0,115.0,8.0,1.0,0.0,0.0,0.0,12.0,16.0,0.0,2.0,24.0,19.0,0.0,3.0,6.0,0.0,0.0,16.0,4.0,47.0,26.0,25.0,0.0,0.0,5.0,0.0,0.0,7.0,4.0,1.0,48.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,39.0,0.0,10.0,7.0,2.0,2.0,0.0,34.0,49.0
Saudi Arabia,0.0,0.0,0.0,32.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0,76.0,4.0,17.0,0.0,980.0,0.0,0.0,6.0,0.0,5.0,206.0,0.0,62.0,0.0,276.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,56.0,3.0,0.0,3.0,3.0,0.0,0.0,5.0,7.0,4.0,0.0,3.0,3.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,181.0,51.0,2.0,57.0,8.0,2.0,1.0,0.0,0.0,14.0,1.0,0.0,4.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,24.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,16.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,6.0,4.0,0.0,0.0,0.0,7.0,8.0
Pakistan,0.0,0.0,0.0,10.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,109.0,0.0,47.0,2.0,741.0,0.0,1.0,5.0,1.0,53.0,18.0,0.0,53.0,0.0,12.0,2.0,0.0,1.0,0.0,14.0,0.0,0.0,2.0,0.0,18.0,1.0,0.0,1.0,4.0,5.0,0.0,9.0,77.0,23.0,2.0,8.0,4.0,0.0,0.0,42.0,0.0,0.0,0.0,1.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,116.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,17.0,437.0,0.0,27.0,0.0,1.0,0.0,11.0,1.0,9.0,2.0,14.0,0.0,0.0,1.0,0.0,6.0,1.0,14.0,0.0,31.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,30.0,0.0,118.0,6.0,4.0,1.0,0.0,25.0,10.0
"Moldova, Republic of",0.0,0.0,0.0,59.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,619.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,22.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0
Qatar,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,450.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,4.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,14.0,1.0,4.0,0.0,1.0,0.0,18.0,0.0,0.0,2.0,6.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,19.0,0.0,0.0,1.0,2.0,4.0
Cambodia,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,22.0,0.0,209.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,5.0,0.0,3.0,3.0,0.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Luxembourg,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,0.0,685.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,19.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Vanuatu,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,88.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0.0,0.0,0.0,143.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,2021.0,0.0,0.0,32.0,2.0,3.0,1.0,0.0,27.0,0.0,4.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,3.0,0.0,4.0,2.0,0.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,7.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
Jordan,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,7.0,0.0,673.0,0.0,0.0,5.0,0.0,0.0,23.0,0.0,4.0,0.0,19.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,8.0,1.0,2.0,0.0,12.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,8.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,9.0,0.0,0.0,0.0,4.0,0.0
Oman,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,19.0,2.0,421.0,1.0,0.0,1.0,1.0,0.0,24.0,0.0,3.0,2.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,16.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,2.0,95.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Equatorial Guinea,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
Mongolia,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,80.0,0.0,0.0,10.0,0.0,3.0,4.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
Mali,0.0,0.0,0.0,82.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0,0.0,12.0,0.0,408.0,0.0,0.0,2.0,2.0,3.0,29.0,10.0,116.0,0.0,8.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,9.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,6.0,0.0,0.0,0.0,60.0,0.0,0.0,2.0,0.0,12.0,8.0,0.0,0.0,1.0,8.0,0.0,5.0,113.0,0.0,61.0,2.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,14.0,19.0,0.0,1.0,2.0,1.0,1.0,1.0,6.0,6.0,4.0,4.0,1.0,0.0,4.0,0.0,0.0,7.0,8.0,0.0,5.0,3.0,1.0,9.0,0.0,5.0,0.0,0.0,0.0,39.0,0.0,6.0,5.0,18.0,1.0,0.0,2.0,5.0
Ireland,0.0,0.0,0.0,14.0,1.0,12.0,1.0,1.0,17.0,1.0,0.0,13.0,12.0,1.0,4.0,56.0,0.0,2130.0,0.0,14.0,31.0,17.0,3.0,5.0,0.0,65.0,11.0,26.0,10.0,0.0,0.0,0.0,59.0,1.0,0.0,4.0,0.0,49.0,15.0,13.0,25.0,12.0,0.0,0.0,35.0,30.0,41.0,9.0,43.0,8.0,0.0,0.0,166.0,0.0,0.0,0.0,6.0,0.0,20.0,3.0,1.0,1.0,6.0,11.0,23.0,16.0,1.0,73.0,11.0,0.0,0.0,0.0,0.0,7.0,6.0,3.0,13.0,8.0,23.0,0.0,5.0,25.0,1.0,0.0,21.0,4.0,24.0,38.0,86.0,1.0,4.0,1.0,2.0,11.0,0.0,12.0,0.0,59.0,17.0,15.0,7.0,22.0,0.0,12.0,12.0,0.0,27.0,0.0,41.0,6.0,0.0,2.0,0.0,21.0,41.0
