,Anisakis,Anthrax,Ascaris,Avian flu,Babesiosis,Botulism,Brucellosis,Buruliulcer,Campylobacter Infection,Chagas disease,Chickenpox,Chikungunya,Chlamydia Infection,Cholera Infection,Coccidioidomycosis,Communicable disease,Congo-Crimean HF,Coronavirus Infection,Coxsackie Infection,CreutzfeldtJakobDisease,Cryptosporidiosis,Cytomegalovirus,Dengue Fever,Diphtheria,Dracunculus,Ebola Hemorrhagic Fever,Echinococcus,Emerging disease,Enteritis,Enterobiasis,Epstein Barr Virus,Equine encephalitis,Escherichia coli Infection,Fasciola,Fasciolopsiasis,Filariasis,Filovirus,Food poisoning,Food-borne,Giardiasis,Gonococcal,Haemophilus influenzae Infection,Hanta Fever,HendraVirus,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis E,Herpes,Herpes Zoster,Hookworm,Hymenolepsis,Influenza,Japanese Encephalitis,Kaposis Sarcoma,Lassa Fever,Legionellosis,Leishmaniasis,Leprosy,Leptospirosis,Listeriosis,Lujo,Lyme disease,Lymphogranuloma,MERS,Malaria,Marburg Hemorrhagic Fever,Measles,Meningitis,Mumps,NDM-1,NipahVirus,Norovirus,Nosocomial,Onchocerciasis,Pertussis,Pneumococcal Infection,Pneumonia,Poliomyelitis,Q Fever,Rabies,Respiratory Syncytial Virus Infection,Rickettsiosis,Roseolo virus,Rotavirus,Rubella,SARS,STD,Salmonellosis,Saxitoxin Poisoning,Scabies,Schistosomiasis,SchmallenbergVirus,Shigellosis,Sleeping Sickness,Smallpox,Strongyloidiasis,Swine Flu,Syphilis,TSE,Tetanus,Toxoplasma,Trachoma,Trichinella,Trichomoniasis,Trichuris,Tuberculosis,Tularemia,Typhoid Fever,Viral hepatitis,Visceral Leishmaniasis,West Nile Disease,Yaws,Yellow Fever,Zika Virus
Saudi Arabia,0.0,1.0,0.0,32.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,1.0,0.0,72.0,3.0,14.0,0.0,1007.0,0.0,0.0,6.0,0.0,7.0,194.0,0.0,59.0,0.0,241.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,54.0,2.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,158.0,53.0,3.0,41.0,12.0,2.0,1.0,0.0,0.0,15.0,0.0,0.0,4.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,23.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,5.0,10.0,0.0,0.0,0.0,8.0,7.0
"Korea, Republic of",0.0,4.0,0.0,62.0,1.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,29.0,0.0,799.0,0.0,0.0,34.0,1.0,3.0,4.0,0.0,19.0,0.0,29.0,2.0,0.0,1.0,0.0,18.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0,2.0,5.0,4.0,0.0,11.0,12.0,8.0,1.0,4.0,0.0,1.0,0.0,81.0,3.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,2.0,12.0,1.0,3.0,0.0,1.0,3.0,7.0,0.0,2.0,4.0,8.0,2.0,1.0,1.0,9.0,0.0,0.0,3.0,1.0,8.0,3.0,3.0,0.0,0.0,4.0,0.0,6.0,0.0,3.0,0.0,13.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,1.0,0.0,171.0,0.0,1.0,8.0
Belarus,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,651.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0,10.0,3.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,6.0,1.0,0.0,30.0,3.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,2.0,18.0,7.0,0.0,46.0,0.0,0.0,0.0,8.0,3.0,14.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,7.0,5.0,6.0,0.0,4.0,0.0,4.0,3.0
Afghanistan,0.0,1.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,16.0,0.0,583.0,0.0,0.0,8.0,0.0,7.0,142.0,1.0,41.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65.0,8.0,0.0,2.0,1.0,0.0,0.0,5.0,15.0,5.0,0.0,4.0,2.0,0.0,0.0,34.0,0.0,0.0,0.0,4.0,6.0,6.0,2.0,0.0,0.0,1.0,0.0,4.0,13.0,4.0,135.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,247.0,1.0,10.0,6.0,0.0,0.0,3.0,3.0,3.0,16.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,18.0,15.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,33.0,0.0,16.0,7.0,6.0,1.0,0.0,4.0,3.0
Mongolia,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,81.0,0.0,0.0,10.0,0.0,3.0,3.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0
Honduras,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,10.0,3.0,1.0,12.0,0.0,8.0,0.0,434.0,0.0,0.0,2.0,1.0,58.0,3.0,0.0,5.0,0.0,5.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,4.0,4.0,0.0,4.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,14.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,6.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0
Angola,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,20.0,0.0,14.0,0.0,432.0,0.0,0.0,66.0,0.0,25.0,0.0,0.0,42.0,0.0,2.0,13.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,6.0,5.0,8.0,1.0,3.0,0.0,1.0,0.0,0.0,13.0,6.0,0.0,5.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,12.0,174.0,6.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,18.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,9.0,3.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,74.0,0.0,11.0,0.0,0.0,0.0,0.0,23.0,8.0
Austria,0.0,0.0,4.0,19.0,4.0,3.0,8.0,0.0,4.0,1.0,4.0,5.0,5.0,2.0,0.0,23.0,0.0,1073.0,0.0,0.0,25.0,15.0,4.0,20.0,0.0,66.0,4.0,12.0,1.0,0.0,2.0,0.0,35.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0,2.0,7.0,4.0,0.0,15.0,53.0,34.0,0.0,39.0,11.0,0.0,0.0,132.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,10.0,0.0,17.0,14.0,6.0,83.0,11.0,1.0,0.0,0.0,0.0,6.0,4.0,3.0,10.0,6.0,21.0,0.0,7.0,4.0,5.0,0.0,3.0,8.0,13.0,12.0,42.0,0.0,1.0,0.0,0.0,2.0,3.0,17.0,0.0,19.0,7.0,1.0,5.0,17.0,0.0,2.0,2.0,0.0,23.0,0.0,14.0,2.0,1.0,4.0,0.0,3.0,33.0
El Salvador,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,374.0,0.0,0.0,97.0,0.0,15.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,3.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,48.0
Serbia,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,12.0,0.0,677.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,15.0,2.0,4.0,1.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,19.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,9.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,6.0
Thailand,0.0,0.0,2.0,21.0,2.0,4.0,5.0,0.0,0.0,0.0,3.0,7.0,1.0,4.0,0.0,58.0,0.0,993.0,0.0,0.0,49.0,9.0,47.0,4.0,0.0,68.0,0.0,52.0,3.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,2.0,59.0,1.0,0.0,4.0,5.0,0.0,2.0,11.0,26.0,28.0,8.0,10.0,5.0,2.0,0.0,77.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,18.0,0.0,71.0,28.0,6.0,50.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,58.0,5.0,2.0,11.0,5.0,1.0,0.0,8.0,1.0,37.0,7.0,10.0,0.0,0.0,1.0,0.0,11.0,18.0,6.0,0.0,17.0,10.0,2.0,8.0,3.0,0.0,3.0,1.0,3.0,167.0,0.0,5.0,1.0,0.0,6.0,0.0,15.0,31.0
Ethiopia,0.0,0.0,3.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,25.0,0.0,9.0,0.0,236.0,0.0,0.0,11.0,4.0,4.0,9.0,1.0,39.0,0.0,6.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,67.0,0.0,54.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,7.0,20.0,24.0,3.0,1.0,1.0,0.0,10.0,1.0,3.0,9.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,7.0,0.0,8.0,1.0,0.0,2.0,2.0,4.0,0.0,1.0,2.0,12.0,0.0,5.0,5.0,0.0,0.0,1.0,11.0,4.0
Barbados,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,65.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
Hungary,0.0,0.0,1.0,97.0,4.0,13.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,0.0,16.0,0.0,797.0,0.0,0.0,13.0,7.0,3.0,18.0,0.0,55.0,0.0,9.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,6.0,0.0,6.0,0.0,7.0,22.0,16.0,0.0,28.0,4.0,1.0,0.0,105.0,0.0,0.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,7.0,0.0,28.0,7.0,0.0,38.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,5.0,2.0,5.0,1.0,5.0,2.0,2.0,0.0,2.0,1.0,18.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,18.0,3.0,0.0,1.0,9.0,1.0,2.0,0.0,0.0,29.0,0.0,6.0,0.0,0.0,13.0,1.0,3.0,33.0
Guinea,0.0,0.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,0.0,10.0,1.0,18.0,0.0,146.0,0.0,1.0,1.0,2.0,1.0,3.0,62.0,1581.0,2.0,32.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,7.0,150.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,3.0,0.0,12.0,0.0,0.0,16.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,105.0,345.0,34.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,1.0,13.0,5.0,4.0,0.0,14.0,0.0,2.0,7.0,7.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,92.0,1.0,1.0,2.0,1.0,23.0,5.0
Haiti,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,227.0,0.0,5.0,0.0,246.0,0.0,0.0,1.0,1.0,0.0,82.0,0.0,32.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,15.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,4.0
Jersey,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,215.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,10.0,0.0,6.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0
"Bolivia, Plurinational State of",0.0,0.0,1.0,1.0,1.0,0.0,11.0,0.0,0.0,7.0,1.0,6.0,0.0,4.0,0.0,3.0,0.0,891.0,0.0,0.0,3.0,1.0,30.0,0.0,2.0,31.0,1.0,34.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,9.0,0.0,4.0,5.0,1.0,0.0,4.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,15.0,0.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,9.0,0.0,46.0,3.0,1.0,0.0,7.0,0.0,1.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,25.0
Senegal,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,10.0,0.0,151.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,39.0,5.0,7.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,2.0,0.0,17.0,4.0
Switzerland,0.0,0.0,0.0,47.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,7.0,13.0,0.0,54.0,0.0,1208.0,0.0,1.0,119.0,3.0,11.0,43.0,5.0,155.0,3.0,45.0,0.0,0.0,3.0,2.0,34.0,0.0,0.0,4.0,0.0,8.0,12.0,1.0,1.0,2.0,12.0,6.0,1.0,30.0,51.0,12.0,70.0,61.0,0.0,0.0,174.0,0.0,1.0,1.0,4.0,2.0,8.0,4.0,2.0,0.0,15.0,0.0,24.0,72.0,12.0,126.0,5.0,1.0,0.0,0.0,3.0,11.0,13.0,0.0,3.0,30.0,20.0,0.0,2.0,12.0,0.0,0.0,15.0,7.0,39.0,24.0,28.0,0.0,0.0,6.0,0.0,3.0,3.0,3.0,1.0,33.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,37.0,0.0,6.0,5.0,2.0,3.0,0.0,33.0,37.0
Vanuatu,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,83.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,20.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Croatia,0.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,620.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,10.0,13.0,1.0,9.0,9.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,157.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,7.0
Azerbaijan,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,15.0,0.0,497.0,0.0,0.0,12.0,5.0,0.0,4.0,0.0,36.0,0.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,8.0,11.0,0.0,7.0,1.0,1.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,2.0,0.0,5.0,4.0,0.0,0.0,6.0,3.0,9.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
Czechia,0.0,0.0,0.0,58.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,9.0,0.0,682.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,17.0,0.0,0.0,1.0,52.0,3.0,0.0,4.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,6.0,1.0,245.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,5.0,5.0,0.0,1.0,0.0,2.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
Algeria,0.0,0.0,0.0,6.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,0.0,848.0,0.0,0.0,5.0,1.0,4.0,68.0,0.0,16.0,3.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,10.0,0.0,2.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,5.0,1.0,15.0,0.0,0.0,0.0,0.0,5.0,18.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,5.0,0.0,0.0,0.0,3.0,3.0
Macao,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,614.0,0.0,0.0,3.0,0.0,0.0,36.0,0.0,5.0,0.0,40.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0
"Palestine, State of",0.0,0.0,0.0,17.0,1.0,0.0,14.0,1.0,74.0,0.0,15.0,7.0,0.0,11.0,1.0,89.0,0.0,2153.0,1.0,0.0,17.0,13.0,11.0,439.0,0.0,85.0,2.0,63.0,4.0,0.0,2.0,2.0,14.0,0.0,0.0,4.0,0.0,29.0,3.0,0.0,5.0,2.0,4.0,0.0,11.0,45.0,23.0,1.0,27.0,17.0,0.0,0.0,285.0,0.0,1.0,0.0,1.0,0.0,37.0,2.0,1.0,0.0,6.0,0.0,45.0,28.0,2.0,285.0,2.0,0.0,0.0,0.0,2.0,19.0,2.0,8.0,5.0,24.0,41.0,1.0,9.0,15.0,0.0,0.0,8.0,128.0,51.0,14.0,15.0,0.0,0.0,2.0,1.0,1.0,3.0,33.0,0.0,36.0,14.0,2.0,19.0,2.0,0.0,1.0,0.0,0.0,73.0,1.0,23.0,5.0,0.0,6.0,1.0,22.0,23.0
